12432548
/m/02w5jm1
/m/02w5jm1
Patricia McCormick

{"/m/02xlf": "Fiction"}
a 9
able 1
all 2
an 2
and 6
another 1
arrives 1
as 1
at 1
away 1
bad 1
be 1
becomes 1
been 1
blackandwhite 1
book 1
brothel 1
brush 1
but 3
by 3
can 2
cannot 1
cheats 1
city 1
crops 1
cruelty 1
cunning 1
debt 1
desperately 1
earnings 1
enable 1
endure 1
escape 1
family 3
familys 2
find 1
for 1
forms 1
friendships 1
from 2
full 2
girl 1
girls 1
glad 1
glamorous 1
goat 1
gradually 1
hair 1
happiness 1
harsh 1
has 1
having 1
he 1
help 1
her 14
himalayan 1
home 1
honestly 1
hope 1
house 1
httpwwwbookbrowsecomreviewsindexcfmbooknumber1876sold 1
hut 1
in 4
india 1
into 1
introduces 1
is 6
it 1
job 2
journey 1
lakshmi 4
lakshmis 2
lamp 1
learns 1
leave 2
life 3
light 1
like 1
lives 2
long 1
maid 1
meager 1
monsoons 1
mother 1
mothers 1
mountains 1
mumtaz 1
must 1
named 1
nepal 1
never 1
new 1
nightmare 1
of 8
off 1
oil 1
old 1
other 1
pay 1
pleasures 1
poor 1
pretty 1
prostitution 1
raising 1
remains 1
rules 1
says 1
she 11
simple 1
simply 1
site 1
small 1
so 1
sold 1
someone 1
soon 1
speckled 1
stepfather 1
still 1
stranger 1
stupid 1
summary 1
support 1
survive 1
take 1
tells 2
terrifying 1
that 4
the 12
then 1
there 1
thirteenyearold 1
this 2
to 8
took 1
trapped 1
triumph 1
truth 1
undertakes 1
unthinkable 1
until 1
wash 1
way 1
wealthy 1
website 1
when 1
which 1
who 2
whole 1
will 1
with 3
woman 2
words 1
working 1
