18673418
/m/04gqqym
/m/04gqqym
Kira Salak
2008
a 11
about 1
admired 1
alive 1
always 1
and 6
arrives 1
as 1
at 1
barely 1
before 1
behalf 1
behind 1
better 1
biography 1
boston 1
burgeoning 1
but 3
by 3
carries 1
caused 1
chance 1
change 1
claims 1
committed 1
congo 1
continue 1
cost 1
could 1
courageous 1
course 1
covering 1
curious 1
dangerous 1
day 1
dead 1
deeply 1
demons 1
depths 1
determined 1
devastating 1
doing 1
earth 1
embark 1
escapes 1
exotic 1
famous 1
find 1
for 5
forever 1
forgotten 1
from 1
genocide 1
glimpses 1
governed 1
guinea 2
hardest 1
has 3
have 2
heart 1
her 12
herselfand 1
him 2
his 3
home 1
human 1
if 2
in 4
information 1
into 2
introduces 1
is 4
isnt 2
it 2
journalist 1
journey 1
jungle 1
kidnapped 1
learns 1
leaves 1
left 1
letter 2
lewis 5
life 3
lifewill 1
long 1
loving 1
luck 1
magazine 1
magical 1
makes 1
marika 5
marikas 1
missionary 1
most 2
must 1
mysterious 1
nearly 1
new 2
news 1
not 1
of 7
offer 1
offered 1
on 4
one 2
only 1
oppressed 1
out 2
own 1
papua 1
places 2
psychologist 1
pulitzerwinning 1
quest 1
really 1
rebel 1
receives 1
relationship 2
rely 1
remote 1
reporter 1
reporting 1
research 1
risked 1
risky 1
robert 2
ruled 1
runs 1
seb 2
seen 1
she 9
shocks 1
skills 1
soldiers 1
soul 1
spirits 1
stable 1
stops 1
strict 1
suffering 1
suicide 1
taboos 1
take 1
tested 1
the 12
through 1
to 10
tobo 1
traveling 1
true 1
understand 1
unknown 1
vecera 1
voice 1
vows 1
wantingneedingto 1
war 1
warravaged 1
what 3
whatever 1
where 1
while 1
who 3
wisdom 1
witchdoctor 1
with 3
wonders 1
work 2
world 2
worlds 2
write 1
years 1
yet 1
