21280863
/m/05f3sk2
/m/05f3sk2
Liang Yusheng
1963-01-01
{"/m/08322": "Wuxia"}
20year 1
a 12
achieve 1
achieved 1
adventures 1
after 1
also 3
amidst 1
an 9
and 22
another 1
appoints 1
are 1
arena 1
artists 1
arts 2
as 1
at 1
avenge 1
baby 1
barbarian 1
battle 2
be 1
because 1
behind 1
birth 1
botong 5
boy 1
bring 1
brotherinlaw 1
brothers 1
builds 1
bureaucrat 1
but 1
by 5
called 3
capital 1
capturing 1
certain 1
chancellor 1
changan 1
chaos 1
chaotic 1
chapters 1
chief 2
children 1
cities 1
civilisation 1
clearing 1
close 1
community 1
compete 1
concubine 1
continue 1
cooperates 1
corruption 1
courier 1
cousin 1
daughter 1
death 1
demanded 1
dies 1
discontented 1
dominate 1
dou 6
duan 10
during 1
dynasty 1
each 1
emperor 7
entangled 1
era 1
escapes 1
experts 1
exposing 1
fail 1
fanyang 1
favourite 1
featured 1
fell 1
fiercely 1
fight 1
find 1
finds 1
flattery 1
flees 1
for 2
force 1
forces 4
former 1
friendship 1
from 2
girl 1
give 1
go 1
goal 1
godfather 1
godson 1
government 1
gradually 1
great 1
guizhang 7
guozhong 3
han 2
hand 1
hands 1
has 2
have 1
he 3
held 1
help 2
heroes 2
heroic 1
him 5
himself 2
his 9
historical 1
hostage 1
huangfu 2
hungry 1
imperial 1
in 17
incident 1
including 1
incompetent 1
ineffective 1
into 1
involved 1
is 8
jianghu 1
jiedushi 1
jiyun 2
keye 2
killed 1
kongkonger 1
lackeys 1
later 3
leaders 1
leadership 1
learn 1
legacy 1
level 1
lingkan 5
loses 1
love 1
luoyang 1
lushan 8
maiden 1
maintains 1
many 1
martial 3
master 1
mawei 1
meet 1
men 2
military 1
mole 7
mystery 1
name 1
named 1
nan 2
nepotism 1
not 2
novel 1
of 16
old 1
on 1
one 1
only 1
order 1
other 2
others 1
out 1
outlaw 1
place 1
political 1
position 1
power 2
preparation 1
promotes 1
prowess 1
pugilists 1
put 1
rank 1
rebel 2
rebellion 3
reclusive 1
recruiting 2
reign 1
renowned 1
rescue 1
residence 1
respectively 1
returns 1
ruomei 1
sacrifice 1
saved 1
saves 1
scene 1
secretly 1
sending 1
sends 2
series 1
serve 1
set 1
seven 1
several 1
severely 1
shi 6
shows 1
side 1
sinks 1
skills 1
slain 1
so 1
soldiers 1
song 2
station 1
steals 1
story 1
stranded 1
stronghold 1
suiyang 1
support 1
supporters 1
suppressing 1
swordsman 1
tang 2
that 1
the 34
their 2
themselves 1
then 1
they 2
through 1
tianbao 1
tie 7
title 1
to 17
triangle 1
trust 1
truth 1
tutored 1
under 1
undermining 1
up 2
vows 1
wang 7
was 1
went 1
when 2
while 2
who 1
wields 1
wins 1
with 7
wives 1
wounded 1
wulin 2
xuanzong 2
yang 7
yanyu 2
years 1
yiru 4
yuhuan 2
zhifen 2
