2768880
/m/081k6h
/m/081k6h
Troy Denning

36 1
66 1
a 20
abandon 1
able 1
aboard 3
about 1
absence 1
acceptance 1
accusation 1
accusations 1
ackbar 1
across 1
actually 1
addition 1
admiral 3
advantage 2
affliction 2
after 5
again 3
against 2
agent 1
agrees 1
alema 6
all 2
alliance 10
alone 1
although 1
altogether 1
amidala 1
an 4
anakin 2
and 59
any 1
apocalyptic 1
appears 1
appoints 1
are 8
around 2
arrive 2
as 14
ascendancy 1
assassins 4
at 4
attack 4
attacked 1
attacking 1
avoid 1
baby 3
back 5
battle 7
battles 1
be 3
because 2
become 1
becomes 1
been 1
before 2
begin 1
begun 1
ben 2
between 2
biological 1
blockade 5
brakes 1
brief 1
bulk 1
business 1
but 4
bwuatu 2
by 2
c3po 1
cal 1
call 1
calls 1
came 1
camping 1
cant 2
captured 1
carried 1
casualties 1
cause 1
caused 1
cells 1
certain 1
charges 1
chief 1
child 1
chiss 4
choke 4
chume 6
cilghal 1
clear 1
close 1
colleagues 1
collect 1
colony 5
coma 1
combat 1
come 6
comes 2
complete 1
comrades 1
conclusion 2
confirm 1
conflict 1
confront 1
confrontation 1
consortium 1
consume 1
consumes 1
contact 1
control 1
convinces 1
core 1
corpses 1
corran 2
correctly 1
could 4
cousin 1
created 1
credits 1
dangerous 1
dark 4
darth 1
daughter 2
dealing 1
death 1
delay 1
deliberately 1
deny 1
depot 3
despite 1
destroy 2
disable 1
discover 1
disguise 1
djo 1
do 1
doesnt 1
doubts 1
draws 1
droid 1
dubbed 1
duel 1
durron 2
earlier 1
effort 1
either 1
emerges 1
endor 1
enemies 2
enough 1
ensues 1
enter 1
environment 1
escape 2
escapes 2
eternal 1
evacuates 1
even 1
events 2
ever 1
every 2
everyone 1
explains 2
explore 1
explosion 1
exterminate 1
fact 1
falcon 3
false 1
feigns 1
fellow 1
figures 1
files 1
find 4
finds 1
fizz 7
fleet 1
flew 1
flourish 1
following 1
footage 1
for 8
form 1
former 1
four 1
friends 1
from 9
further 1
galactic 6
galaxy 3
gang 1
gave 1
get 1
gets 1
gives 1
go 2
goes 2
gorog 14
grandmother 1
group 1
growth 1
had 1
half 1
han 14
hapes 2
happens 1
harm 1
has 5
have 2
having 1
he 8
help 2
hence 1
her 7
heroes 1
hiding 2
him 1
his 7
hive 1
hold 1
holorecording 1
honor 1
horn 1
horrifying 1
however 2
hyperdrive 1
hyperspace 1
hypothesize 1
hypothesizes 1
if 1
impatient 1
in 27
indeed 1
infected 1
informing 1
inhabit 1
inhabited 1
intend 1
intends 1
intention 1
interested 1
interrogates 1
into 6
invasion 1
invisibility 1
is 12
it 11
its 1
jacen 8
jae 2
jedi 11
just 2
juun 3
ka 7
kill 5
killed 1
killik 3
killikmade 1
killiks 13
kind 2
knights 1
kyp 2
land 1
later 2
leader 3
least 1
leave 2
leia 9
life 2
lightsaber 1
likely 2
lingering 1
live 1
lomi 1
long 1
loose 1
luke 18
make 1
man 1
manage 1
manages 1
manipulate 1
manner 1
mara 4
meant 1
meanwhile 2
meet 3
memory 1
military 2
millennium 3
mind 1
mission 1
mon 1
moon 1
most 2
mother 1
mothma 1
moves 1
murgo 4
myrkr 1
nanny 1
navigation 1
nebula 9
nek 1
nest 7
never 1
new 2
no 2
not 1
notice 1
novel 2
now 1
occurred 1
of 42
off 2
omas 2
on 9
once 1
one 1
open 1
or 1
order 6
organa 1
ossus 2
other 3
others 7
out 9
over 3
padme 1
part 2
pass 2
paternity 1
permanent 1
persuade 1
pirates 2
place 1
plan 1
planning 1
plant 1
plays 1
plo 3
pop 1
power 1
powers 1
preemptive 1
previous 1
prison 3
problem 1
progress 1
promise 1
protects 1
qoribu 2
queen 2
question 1
r2d2 3
rages 1
raiding 1
rar 2
reality 1
reason 1
reclaim 1
recover 1
regroup 1
release 1
remains 1
rendezvous 1
replica 1
replicas 4
response 4
restarting 1
return 3
right 1
room 1
rule 1
run 1
saba 6
sample 1
sanctuary 1
save 1
schism 1
sebatyne 1
second 1
secretly 1
sector 1
see 1
selected 1
sends 1
sent 2
serious 1
shared 1
shatters 1
she 5
shell 1
ship 5
shipping 1
ships 2
side 1
skywalker 4
slowed 1
smugglers 4
sneak 1
so 5
solo 2
some 1
soon 1
space 2
spark 1
spend 1
spice 1
start 1
state 1
station 1
stealthx 1
straight 1
successfully 1
suffering 2
suggests 1
supporters 1
suspicion 1
suspicions 1
swarm 1
taa 5
take 2
takes 4
taking 1
tarfang 3
technology 1
tell 1
tells 5
temple 1
temporary 1
tenel 7
thanks 2
that 30
the 132
their 7
them 6
then 7
there 2
they 20
theyre 1
this 10
those 1
thrago 3
threat 1
through 2
throughout 1
time 2
titular 1
to 49
took 1
tortures 1
trading 1
transported 1
trip 1
trouble 2
turn 1
turns 2
ultimately 1
under 1
unknown 1
unseen 1
unuthul 7
up 2
uses 1
utegetu 4
vader 1
via 1
victorious 1
village 1
vision 1
war 4
was 2
way 2
week 1
well 1
were 1
what 1
when 5
where 2
which 2
while 4
who 1
why 1
wife 1
will 5
with 19
without 1
womb 1
women 1
wont 1
working 1
world 1
worlds 3
woteba 6
would 1
wounds 1
xwing 1
yavin 1
year 1
years 1
