33985996
/m/0hn9h_k
/m/0hn9h_k
Jerry Bledsoe
1988
15minute 1
18 1
184 4
185 3
22 1
3 1
a 10
across 1
actually 1
after 3
agreed 1
all 1
an 4
and 21
apartment 1
arrests 1
as 1
aspects 1
at 3
attend 1
authorities 1
battles 1
be 1
became 4
because 2
before 2
began 3
bitter 1
blood 2
bob 2
both 1
burst 1
but 1
by 1
carolina 4
case 1
chance 1
charge 1
chase 1
chief 1
children 1
church 1
closing 1
cold 1
college 1
complex 1
could 1
country 1
couple 1
court 1
cousin 1
custody 2
death 2
deceived 1
delores 1
detonated 1
did 2
died 1
direction 1
discovered 1
dishonesty 1
divorce 1
divorced 1
doctor 1
due 1
engaged 1
ensued 1
entered 1
event 1
events 1
evidence 1
explosive 1
family 4
father 3
favor 1
fire 2
fired 1
first 2
fled 1
florence 1
followed 1
footsteps 1
forces 1
former 1
fraud 1
frederick 1
fritz 9
from 1
gathered 1
gathering 1
got 2
grandmother 1
greensboro 1
gun 2
gunshots 1
had 5
happened 1
hattie 1
he 3
hearing 1
heavily 1
her 4
him 1
himself 1
his 5
history 1
home 2
however 2
in 23
including 1
information 1
initial 1
inside 1
instead 1
intense 1
intimate 1
investigation 1
investigators 2
janie 1
jim 2
john 2
july 1
june 2
justice 1
kentucky 1
killed 1
killing 1
kind 1
klenner 5
lead 1
leads 1
license 1
life 1
long 1
louisville 1
low 1
lynch 2
lynchs 1
machine 1
many 3
may 1
medical 1
medicine 1
morning 1
mother 2
multiple 1
murder 2
murdered 2
murders 2
mysterious 1
namesake 1
never 1
newsom 4
newsoms 2
niece 1
nine 1
no 2
nor 1
north 4
not 1
now 1
of 16
officers 1
on 4
opened 1
originally 1
outraged 1
over 1
own 1
passengers 1
people 2
physical 1
played 1
police 8
power 1
practice 2
prime 1
ready 1
receive 1
recounted 1
reidsville 1
relationship 1
relatives 1
resistance 1
respond 1
returned 1
robert 1
role 1
scene 1
scrutinizing 1
service 1
sharp 1
shocking 1
shortly 1
shot 1
sister 1
sons 1
soon 2
speculate 1
speed 1
started 1
stopped 1
struggles 1
subdue 1
substantial 1
summer 1
sunday 1
supreme 1
susan 1
susie 8
susies 1
suspect 1
suspects 2
suv 2
testify 1
that 2
the 23
their 3
then 2
these 1
they 3
this 1
three 2
to 7
tom 3
toms 1
two 4
under 1
unpredictable 1
upcoming 1
van 1
was 4
were 6
when 1
who 1
winstonsalem 1
with 4
worshipping 1
wounding 1
