9633806
/m/02pmldj
/m/02pmldj
Lee Child
1998-07
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
100 1
a 10
about 1
across 1
add 1
again 1
against 1
agent 2
also 2
an 1
and 7
approximately 1
are 3
area 1
arrives 1
arriving 1
as 1
back 2
band 1
barn 1
beau 1
before 2
being 1
believe 1
betrays 1
body 1
borken 1
brogan 1
but 1
by 2
camp 1
captors 1
cash 1
chicago 3
chiefs 1
close 1
colleagues 1
commanding 1
complications 1
connections 1
convince 1
county 1
critical 1
crucified 1
dakota 1
daughter 1
death 1
defensive 1
detained 1
dies 1
disappearance 1
discovered 1
dispel 1
econoline 1
ends 1
even 1
family 1
fbi 3
federal 1
fictional 1
find 1
ford 1
frantically 1
from 1
garber 1
general 2
goddaughter 1
group 1
had 1
hard 1
has 1
having 2
he 2
head 1
held 1
her 2
hides 1
his 1
holly 4
horrible 1
in 11
infiltrated 1
initially 1
intent 1
into 2
is 4
it 1
jackson 2
johnson 1
joint 1
kidnap 1
kidnapping 1
kills 1
later 1
led 1
leon 1
long 1
majestic 1
megalomaniac 1
militia 2
mole 1
montana 3
more 1
moved 1
nepotism 1
north 1
notions 1
of 10
officer 1
old 1
on 4
one 2
other 1
otherwise 1
pair 1
part 1
paused 1
piece 1
playing 1
president 1
puzzle 1
reacher 6
remote 1
reveals 1
role 1
run 1
ruthless 1
secession 1
she 3
short 1
simple 1
so 1
staff 1
states 1
stolen 1
strong 1
stumbles 1
sudden 1
team 2
than 1
that 2
the 21
their 1
them 1
themselves 1
there 1
they 3
this 1
to 6
together 1
travels 1
undercover 1
union 1
united 1
up 2
van 2
was 1
when 1
while 2
whisked 1
woods 1
work 1
working 1
yet 1
yorke 1
