2903352
/m/08bgp8
/m/08bgp8
Richard Powers
1995
{"/m/012jgz": "Autobiographical novel", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 12
able 3
actually 1
addition 1
after 2
again 1
agrees 1
alma 1
also 1
an 3
analysis 1
and 10
any 1
artificial 1
as 3
asks 1
at 3
attempting 1
attended 1
author 1
based 1
be 1
bear 1
being 1
bets 1
bohemian 1
books 1
boston 1
build 1
but 3
by 3
c 3
can 3
canonical 1
clear 1
clearly 1
communicate 1
complicated 1
computer 5
consists 1
culminates 1
current 1
developing 1
down 1
dubbed 1
ended 1
events 1
eventually 2
everything 1
exit 1
experience 1
experiences 1
experiencing 1
experiment 2
extensive 1
family 1
fellow 1
finds 1
first 4
flashbacks 1
for 4
forces 1
free 1
from 3
getting 1
going 1
has 1
he 9
helen 2
her 2
herself 1
himself 1
his 3
human 3
illinois 1
in 6
indistinguishable 1
inhouse 1
intelligence 1
interact 1
intrigued 1
involving 1
is 8
it 5
leaving 1
lentz 5
life 2
like 1
line 1
literary 1
literature 1
lives 1
long 1
loving 1
machine 2
main 1
maternbsp 1
meeting 1
meets 1
model 1
more 1
move 1
named 1
narrative 1
netherlands 1
never 1
not 1
novel 4
of 8
on 1
one 2
or 3
overbearing 1
own 1
participate 1
past 1
personality 1
philip 1
portion 1
powers 14
process 1
produce 2
produced 1
professornbsp 1
reader 1
reading 1
realities 1
realizes 1
rebirth 1
referred 2
relationship 3
return 1
school 1
scientist 1
scientists 1
see 1
several 1
she 3
shuts 1
simply 1
simulating 1
spends 1
story 2
subsequently 1
suddenly 1
task 1
teach 2
teaches 1
telling 1
tells 1
text 1
that 5
the 23
their 3
then 2
theories 1
thought 1
through 2
to 19
torrid 1
town 1
transformation 1
tutors 1
u 2
unable 2
university 2
unorthodox 1
unsuccessful 1
urbanachampaign 1
versions 1
volatile 1
was 1
whether 2
with 5
woman 1
works 1
world 3
would 1
wouldnt 1
write 3
year 1
