2089698
/m/06lfy9
/m/06lfy9
Marcel Pagnol
1957
{"/m/012jgz": "Autobiographical novel"}
a 6
adults 1
amazed 1
and 6
are 1
arms 1
at 1
atheist 1
aunt 1
aware 1
back 1
believe 1
below 1
birds 3
born 1
break 1
but 5
by 1
can 1
catholic 1
cliff 2
colleague 1
come 3
conflict 1
country 2
deceit 1
decide 1
decides 1
dignity 1
does 1
dont 1
down 1
earlier 1
educate 1
enrages 1
families 1
father 4
fish 1
following 1
follows 2
fool 1
for 2
gets 2
glory 2
had 1
hardworking 1
has 1
he 7
hearing 1
hence 1
high 1
him 2
his 7
holds 1
house 2
hunters 2
hunting 3
idea 1
in 9
into 1
is 4
joseph 10
jovial 1
jules 6
just 1
kill 1
lacked 1
later 1
leave 1
legendary 1
legs 1
lie 1
lifts 1
like 1
loading 1
lost 1
made 1
making 1
marcel 7
marries 1
marseille 2
mocked 1
musket 1
my 1
name 1
not 1
observes 1
of 5
on 1
out 2
outspread 1
over 3
partridges 1
photograph 1
posed 1
poses 2
presence 1
proud 1
prowess 1
public 1
raised 1
realizes 1
religion 1
residents 1
retrieves 1
rock 1
roman 1
rose 1
round 1
saying 1
scares 1
school 1
shoots 1
sidebyside 1
sight 1
skill 1
sky 1
sounds 1
stealthily 1
still 1
strongly 1
such 1
summer 1
take 1
teacher 1
techniques 1
that 3
the 24
their 2
theistic 1
them 4
there 1
they 1
this 1
to 7
top 1
two 2
uncle 2
up 2
valley 1
vanity 1
very 2
village 1
waking 1
wants 1
was 1
when 1
while 2
who 1
wilderness 1
with 4
young 1
