23289444
/m/065xz04
/m/065xz04
Siobhan Dowd
2008-09-09
180s 1
50 1
80 1
a 14
about 2
accidental 1
across 2
actually 1
ad 1
after 5
afterwards 1
age 1
agree 1
alevel 2
allows 1
also 1
an 2
and 11
appointment 1
archaeologist 1
argument 1
army 1
around 3
as 1
asked 1
at 4
attempt 1
back 1
because 2
been 2
begin 1
begins 1
between 1
body 3
bog 3
bombing 1
bombmaker 1
border 4
brother 3
but 1
by 1
child 1
coma 1
condoms 1
contraceptive 1
cora 5
coversations 1
dating 2
days 1
death 1
deus 1
did 1
dreams 2
drip 1
drunk 1
due 1
during 1
dwarf 1
end 2
events 1
exam 1
excavation 1
falls 1
family 2
fasting 1
feel 1
felicity 1
fergus 13
ferry 1
ferrying 1
final 1
find 3
first 1
flashback 1
for 1
found 1
free 1
friends 2
from 2
front 1
gauntlooking 1
gets 1
girl 2
god 1
goes 2
guards 1
has 4
he 9
heated 1
her 8
him 3
his 13
hunger 2
in 5
incarcerated 1
including 1
informs 1
interest 1
into 1
involvement 1
ireland 1
irelanduk 1
irish 1
is 5
it 1
joe 2
joined 1
kesh 1
kiss 1
leading 1
lifting 1
lived 1
loan 1
local 1
long 1
love 1
makes 1
many 1
mccann 1
meaning 1
meet 2
meets 1
mel 9
michael 1
morning 1
mother 3
named 1
near 1
neck 2
news 1
nicknamed 1
noose 2
not 1
novel 1
obrien 1
of 8
on 3
one 2
opens 2
out 1
over 1
owain 3
packets 2
parents 1
physics 2
pills 1
place 1
political 1
prison 2
prisoner 1
professor 1
protest 1
provisional 1
put 1
radiocarbon 1
rafters 1
repayments 1
republican 1
request 1
reveals 1
runs 1
rur 2
same 1
see 1
sees 1
series 1
set 1
share 1
she 1
shown 1
shows 1
site 2
small 1
stabbing 1
stay 1
strike 2
struggling 1
studying 1
suspect 1
talking 1
tally 2
team 1
that 4
the 20
their 1
them 1
they 1
through 1
time 1
to 16
troubles 1
uncle 2
up 1
visit 1
wakes 1
want 1
was 2
when 2
who 1
with 6
