4968585
/m/0cxntx
/m/0cxntx
Gary Paulsen
2003
a 5
actually 1
adventurous 1
after 1
along 1
also 1
an 2
and 12
apparently 1
are 1
arrive 1
as 2
at 1
authorities 1
back 1
battle 1
be 2
bear 7
becomes 1
begins 2
behind 1
books 1
brian 14
buries 1
but 1
cabin 1
canadian 1
canoeing 2
chased 1
check 1
circle 1
clearly 1
contact 1
cost 1
could 1
cree 2
daughter 1
day 1
decides 1
described 1
does 1
dog 4
domesticated 1
done 1
down 1
end 1
fake 1
family 3
finds 4
fishing 1
follow 1
for 3
fought 1
frequently 1
friends 2
go 1
had 2
happy 1
hard 1
has 2
hatchet 1
have 1
he 12
health 1
help 1
her 6
hiding 1
him 2
himself 1
his 6
home 3
human 1
hunt 2
hunted 1
hunter 1
hunting 2
if 1
in 6
instead 1
into 1
is 5
island 1
it 1
its 1
kaygwadaush 1
kill 1
killed 2
kindred 1
knowing 1
known 1
later 1
learned 1
life 1
like 1
maimed 1
malamute 1
may 1
might 1
miss 1
modern 1
moving 1
never 1
next 1
noise 1
not 1
now 3
nurses 1
of 3
old 1
on 3
only 1
order 1
owners 1
parents 1
past 1
people 1
photograph 1
pollution 1
radios 1
reaches 1
realizes 2
relatives 1
remembers 1
rescued 1
returns 1
same 1
schooling 1
searches 1
seen 1
selfreliant 1
seriously 1
she 1
sixteen 1
skills 1
society 1
soon 1
spends 1
spirit 1
stays 1
susan 3
take 1
teenage 1
that 7
the 22
their 1
them 2
though 1
thoughts 1
through 1
time 1
to 10
tracks 1
triumphant 1
turning 1
using 1
very 1
waits 1
walking 1
was 2
well 1
whatever 1
when 1
which 1
while 2
who 2
wild 1
wilderness 1
will 1
winnipeg 1
winter 2
with 3
woman 1
wonders 1
woods 1
worry 1
wounded 1
years 1
young 1
