6350803
/m/0g254y
/m/0g254y
Tamora Pierce
1999
a 20
ability 1
accident 1
accompanying 1
affected 2
after 3
agree 1
air 1
all 1
alone 1
already 1
also 1
altar 1
ambient 1
an 1
and 19
any 1
apparent 1
appears 1
are 4
argue 1
as 5
at 1
away 1
back 1
bad 1
be 3
become 1
been 3
before 1
begins 1
beloved 1
birthday 2
birthdays 1
block 1
blue 4
bluish 1
brain 1
breakthrough 1
briar 13
bright 1
bring 1
busy 1
but 5
by 4
calls 1
caring 2
causes 2
charity 1
circle 2
come 2
comments 1
conclusion 1
contemplates 1
continues 1
cope 1
cords 1
cottage 1
cough 1
crane 4
cure 4
daja 1
damage 1
dangerous 1
day 3
days 2
deadman 1
death 2
decides 1
dedicate 1
deemed 1
determined 1
develop 1
develops 1
discipline 1
discover 1
discovered 1
discovers 1
disease 2
dismay 1
disposed 1
district 1
does 1
dont 1
down 1
due 2
easier 1
encountered 1
enlists 1
errands 1
even 2
eventually 1
everyone 1
examine 1
experiment 1
familiar 1
far 1
fever 2
feverish 1
few 1
fiercely 1
find 2
finds 1
first 2
flick 5
flow 1
following 1
for 10
four 1
friend 2
from 2
further 1
garden 2
girl 1
girls 2
given 1
goes 1
goldeye 1
gone 2
good 1
great 1
had 1
hajra 1
hard 1
has 8
have 1
having 1
he 6
healer 1
healers 1
help 4
her 4
him 6
himself 1
his 6
hospital 2
house 3
however 1
ill 1
illness 1
in 7
including 1
incorrectly 1
into 2
invited 1
is 9
isnt 1
it 6
just 1
kept 1
lab 1
lark 1
lasting 1
later 1
learn 2
learns 1
leave 2
leaving 1
life 1
limbo 1
linking 2
look 1
lose 2
lost 2
mage 1
mages 2
magic 1
magical 2
magically 1
make 1
many 2
mark 1
miniature 1
mire 2
month 1
more 1
named 1
native 1
necessarily 1
next 1
night 1
niklaren 1
niko 1
not 3
notes 1
of 11
on 4
one 2
only 3
or 1
origin 1
other 1
out 1
over 1
oxygen 1
parts 1
pass 1
patients 2
people 1
plague 1
plunges 1
pneumonia 1
poor 1
poorest 2
pox 3
put 1
puzzled 1
quarantine 3
quarter 1
real 1
realized 1
reasons 1
recover 1
remedy 1
resistance 1
result 1
return 2
revelations 1
roof 1
room 1
rosethorn 13
running 1
safe 1
sandry 2
school 1
search 1
seizure 2
send 1
sever 1
several 1
shakkan 1
sharpeyed 1
she 5
sick 1
sickness 1
skin 1
slowly 1
small 1
so 1
sores 1
sort 1
speak 1
spend 1
spots 1
spread 1
spreading 1
start 2
starts 1
stop 1
strange 1
streetrat 1
successful 1
summersea 2
summoned 1
suspended 1
taken 1
task 1
tea 1
teacher 2
team 1
tells 1
temple 1
temporarily 1
territory 1
tests 1
that 10
the 45
their 1
them 1
then 1
these 1
they 6
thief 1
things 1
this 1
threatens 1
three 1
through 1
to 37
together 1
trapped 1
travel 1
tree 1
tris 2
troubling 1
twice 1
two 1
under 1
unfortunately 1
up 1
upon 1
urda 3
useless 1
usually 1
vanished 1
various 1
wanting 1
was 3
weeding 1
well 2
what 1
where 2
which 1
while 2
who 1
whole 1
will 1
willowbark 1
winding 2
with 9
work 1
works 1
wrong 1
year 1
