55483
/m/0ff18
/m/0ff18
Daniel Defoe
1719-04-25
1 1
11 1
165 1
1651 1
1686 1
1687 1
30 1
a 25
abomination 1
about 2
accompanies 1
adopts 1
adventure 1
africa 2
after 3
again 1
against 1
also 1
an 4
and 24
animals 1
apart 1
appeared 1
appears 1
arms 1
arrive 1
arrives 1
as 4
at 1
august 1
avoid 1
back 1
barley 1
be 1
becomes 1
before 3
believed 1
bible 1
boat 1
boy 1
brazil 2
breaks 1
bring 2
build 1
builds 1
but 3
by 6
calendar 1
calls 1
cannibal 1
cannibals 2
captain 6
career 1
cats 1
cave 1
christianity 1
coast 1
coming 1
commandeered 1
commit 1
committing 1
companion 1
conclusion 1
converts 1
corrupted 1
creates 1
crime 1
cross 1
crossing 1
crusoe 14
day 1
dead 1
deal 1
december 1
departs 1
despair 2
devised 1
disaster 1
discovers 1
do 2
dock 1
dog 1
dreams 1
dries 1
eat 1
embarking 1
en 2
ends 1
endure 1
england 3
english 2
enslaved 1
escapes 2
estate 1
excavates 1
expedition 1
family 2
famished 1
fate 1
father 3
feast 1
fencedin 1
fetches 1
fight 1
first 1
for 5
forty 1
freeing 1
friday 5
from 5
german 1
goats 1
god 1
granted 1
grapes 1
grows 1
habitat 1
has 2
have 1
he 21
help 1
helps 2
him 8
himself 1
his 10
how 1
hull 1
human 1
hunts 1
in 15
informs 1
intend 1
is 9
island 7
it 1
joins 1
journey 2
june 1
kill 3
knowingly 1
kreutznaer 1
last 1
later 3
law 1
learns 2
leave 1
leaves 1
left 1
lisbon 1
loyal 1
lust 1
mainland 2
make 2
makes 1
making 1
marks 1
maroon 1
men 1
miles 1
missing 1
moor 1
more 3
most 1
mouth 1
much 1
mutineers 3
name 2
named 1
naming 1
native 1
natives 2
near 2
new 1
no 1
not 1
nothing 2
obtaining 1
occasionally 1
of 8
off 2
on 8
one 3
ones 1
only 1
or 1
orinoco 1
other 3
others 1
out 2
over 1
overcoming 1
overland 1
parents 1
parrot 1
partake 1
pass 1
pirates 1
plan 1
plans 1
plantation 1
port 1
portuguese 1
possibly 1
pottery 1
prisoner 1
prisoners 3
procures 1
profits 1
pursue 1
pyrenees 1
queen 1
raises 1
raisins 1
reads 1
realizes 1
reclaim 1
religious 1
remains 1
rescues 1
result 1
retake 1
return 2
rice 1
right 1
river 1
route 2
rovers 1
sail 2
sailors 1
sal 2
salvaged 1
save 1
sea 5
september 1
servants 1
sets 2
ship 10
shipwreck 1
shipwrecked 2
shows 1
sinks 1
slaves 1
small 1
so 2
society 1
some 1
spaniard 2
spaniards 2
spanish 1
states 1
storm 2
strike 1
strong 1
supplies 1
survive 1
survived 1
taken 1
teaches 1
thanking 1
that 3
the 41
their 1
them 1
then 1
there 1
they 2
this 1
three 1
to 18
together 1
too 1
tools 2
transports 1
travelling 1
tumultuous 1
two 4
using 1
vessel 1
visit 1
voyage 1
want 1
was 1
wealth 2
week 1
west 1
when 1
where 1
wherein 1
which 5
while 1
who 3
will 2
wishes 1
with 3
wolves 1
wooden 1
worst 1
would 1
wrecked 1
xury 1
years 3
