1400457
/m/04zlf8
/m/04zlf8
Robert Ludlum
1979
{"/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction"}
10 1
17 1
a 6
about 2
after 1
agent 2
all 3
alma 1
america 1
an 1
and 17
anger 1
antonia 6
appears 1
are 4
as 4
assassin 1
away 3
based 2
be 1
bear 1
been 1
before 1
boy 3
brandon 1
break 1
burning 1
business 1
but 2
by 5
cabal 1
called 1
cannot 2
captain 1
care 1
character 1
circle 1
commission 1
community 1
connecticut 1
consigliere 1
conspiracy 2
council 2
countdown 1
countries 1
dangerous 1
deals 1
decides 1
defeating 1
denies 1
developments 1
down 1
drives 1
end 1
energetic 1
entire 2
estate 1
everyone 1
evidence 1
excluding 1
existence 1
find 1
finds 2
followed 1
for 2
form 1
freely 1
from 2
fueled 1
give 1
go 2
goes 2
has 2
have 1
he 6
head 1
heads 1
highest 1
him 1
himself 4
his 3
in 10
include 1
infiltrated 1
inspired 1
intelligence 1
introduction 1
is 3
juan 1
kgb 1
kidnapped 2
kills 1
known 1
let 1
line 2
love 1
ludlum 2
make 1
many 1
march 1
matarese 12
mater 1
members 1
miles 1
move 1
named 1
newington 1
next 1
nothing 1
novel 2
nowgone 1
obstacles 1
of 11
offers 1
on 3
or 1
ordinas 1
out 4
own 1
place 1
planned 1
popular 1
powerful 1
presidency 1
president 1
presidents 1
ranks 1
ravages 1
recent 1
regarding 1
rest 1
restaurant 2
retires 1
riddle 1
rocco 1
rumors 1
run 1
running 1
runs 1
russia 1
sacrifices 1
scofield 9
senator 1
sequel 1
shepherd 3
ship 1
society 1
son 1
sought 1
soviet 1
steak 1
story 1
take 1
taleniekov 6
talk 1
tells 1
that 5
the 41
their 1
they 3
through 1
title 1
to 7
trilateral 1
turn 1
two 1
university 1
us 1
vasili 1
verge 1
was 4
way 1
well 1
wesleyan 1
when 2
where 2
while 1
who 1
whose 1
wife 1
will 2
with 4
woman 1
work 1
wouldbe 1
writes 1
written 1
years 1
young 1
