11166324
/m/02r27mt
/m/02r27mt
Christopher Buckley
1999
a 9
abandon 1
abandons 1
abducted 6
abductees 1
abduction 3
about 2
after 1
against 1
agency 2
agent 1
alien 2
aliens 3
all 2
although 1
an 1
and 7
apart 1
are 2
as 2
at 1
attempt 1
attempts 1
authorized 1
banion 9
because 1
been 1
begins 1
believe 1
believes 1
beltway 1
but 2
by 4
caused 1
changed 1
charges 1
citizens 1
completely 1
congress 1
convince 1
cover 1
crazy 1
critical 1
crucial 1
death 1
derision 1
disband 1
discovered 1
doubt 1
dropped 1
elite 1
energy 1
enjoying 1
error 1
even 1
existed 1
fact 1
fall 1
figure 1
for 1
forced 1
friends 2
from 1
funding 2
game 1
golf 1
government 1
grills 1
had 1
have 1
he 7
helped 1
helping 1
him 1
himself 1
his 6
hosts 1
house 1
however 1
in 3
insider 1
investigate 1
is 10
issues 1
it 1
john 1
knew 1
lab 1
leader 1
levels 2
life 2
majestic 7
make 1
man 1
marriage 1
meet 1
met 1
morning 1
nasa 2
nobody 1
normally 1
not 2
o 1
occasionally 1
of 6
old 1
on 1
one 1
paranoia 1
people 1
popular 1
president 2
press 1
pressuring 1
probed 1
problems 1
public 2
pundit 1
purpose 1
rather 1
real 1
redevotes 1
returned 1
returns 1
ruined 1
saw 1
second 1
secret 1
sentenced 1
seriously 1
sets 1
shortly 1
show 1
similar 1
skepticism 1
slightly 1
so 1
soon 1
spread 2
starts 1
states 1
sundaymorning 1
support 1
surrounding 1
sustain 1
take 1
taken 1
television 1
that 4
the 18
their 1
them 1
these 1
they 2
this 1
threat 2
time 1
to 13
too 1
truth 1
trying 1
ultimately 1
united 1
up 1
us 1
was 5
washington 1
wellknown 2
what 1
when 3
while 2
white 1
who 1
with 1
within 1
word 1
would 1
