4944359
/m/0cwdwc
/m/0cwdwc
Robert Cormier
2001-10-09
a 21
about 1
absolutely 1
accuses 1
accusingly 1
acquaintances 1
after 1
again 1
alicia 5
alive 1
all 1
an 4
and 15
any 1
are 2
as 2
at 3
bartlett 1
be 4
because 1
begins 1
being 1
believe 1
believes 1
best 1
bloodthirsty 1
bobo 1
book 1
boy 3
brings 1
brother 2
brought 1
brutal 1
bulb 1
bully 2
bunch 1
but 2
butcher 1
by 1
called 1
cant 1
case 3
ceiling 1
commit 1
confess 1
confesses 1
confession 2
confessions 1
could 2
credible 1
crime 1
dangling 1
death 3
decide 1
demoted 1
described 1
did 2
distorted 1
does 1
dont 1
dorrant 2
end 1
except 1
expecting 1
expert 1
explains 1
failed 1
fascinating 1
favor 1
fellow 1
few 1
fiction 1
fighting 1
final 1
finds 1
for 5
friend 1
friends 1
from 3
fulfills 1
gave 1
get 2
girl 1
gives 1
good 1
grabbing 1
graces 1
hand 1
handiwork 1
has 3
have 1
he 16
heading 1
her 5
him 4
himself 2
his 2
idea 1
if 2
impossible 1
in 9
information 2
innocent 1
interrogation 2
interrogator 2
into 2
irony 1
is 13
it 1
jason 14
kelton 1
kill 2
killed 1
killer 2
knife 1
known 2
knows 1
lady 1
last 1
left 1
like 2
little 1
lonely 1
look 2
looks 1
lost 1
lot 1
main 1
makes 2
making 1
maniac 1
maybe 1
most 1
murder 2
named 2
nearest 1
never 3
no 5
not 3
novel 1
obtain 1
of 9
old 3
older 1
on 1
one 2
or 1
others 1
outsider 1
part 1
particular 1
people 1
perhaps 1
person 1
point 1
position 1
praised 1
providing 1
quote 1
reads 1
riding 1
role 1
room 1
sadly 1
said 1
say 1
science 1
see 2
seemed 1
seepnbsp24 1
senator 1
seven 1
she 4
simply 1
single 1
small 1
someone 2
story 2
succeed 1
suspect 2
taken 1
takes 1
tape 1
that 5
the 18
there 1
this 4
to 13
told 2
towards 1
trent 12
twelve 1
twist 1
twists 1
ventilation 1
violent 1
voluntary 1
walks 1
was 7
watches 1
way 1
were 1
what 4
when 1
where 1
which 1
whitewalled 1
who 3
whom 1
with 4
witnesses 1
woman 1
worked 1
worthy 1
year 2
ymca 1
you 3
youre 2
