14236113
/m/03cyqq5
/m/03cyqq5


{"/m/05h83": "Non-fiction"}
a 7
about 3
accustomed 1
achievement 1
adding 1
adults 1
afraid 1
after 1
aiding 1
algorithm 2
algorithms 1
all 4
always 1
and 20
answer 5
answers 3
apply 1
approval 1
are 4
as 5
at 1
away 3
be 5
because 3
become 2
being 1
belief 1
believe 3
believes 1
body 1
both 1
brought 1
building 1
but 5
by 3
can 2
cannot 2
challenges 1
chances 1
children 9
childrens 2
classroom 1
clues 2
conclusion 1
construct 1
corporal 1
costs 1
cram 1
cuisenaire 1
curiosity 1
deep 1
defeat 1
diligently 1
discovering 1
discovery 1
disservice 1
do 1
does 2
doing 1
else 1
end 1
experiences 1
exploration 1
exploratory 1
explore 2
expressions 1
faced 2
facial 1
fail 1
failure 2
fall 1
faulty 1
fear 3
fears 2
figure 1
fishing 1
for 7
forget 2
forgotten 1
from 4
gain 1
game 1
generally 1
get 1
good 1
great 1
guesses 1
guiding 1
happens 1
hate 1
have 4
help 1
helps 1
him 1
his 2
holt 4
honorable 1
how 4
humiliating 1
humiliation 1
in 11
included 1
increase 1
intelligent 1
interest 1
interests 1
into 1
is 9
it 5
job 1
john 1
joy 1
language 1
learn 5
learned 1
learning 6
little 1
love 1
made 1
maintains 1
manipulate 1
material 1
mathematics 1
may 1
mdash 1
meaning 1
meanwhile 1
might 1
mistakes 4
monumental 1
motivated 1
move 1
mumble 1
must 2
natural 2
need 1
never 1
no 4
nor 1
not 5
numbers 1
of 8
often 1
on 1
only 3
opposite 1
or 1
order 1
other 1
out 2
overcome 1
own 2
paper 1
playing 1
please 1
practical 1
praise 1
preceding 1
problem 2
problems 1
producers 1
proportions 1
punishment 1
question 1
quickly 1
rather 1
real 5
really 1
researcher 1
response 1
right 6
rightwrong 1
rob 1
rods 1
rules 1
scare 1
school 3
schools 1
see 4
seen 1
setting 1
shortly 1
should 2
show 1
shy 1
situations 1
so 2
sometimes 1
spit 1
start 1
states 1
step 1
straddle 1
strive 1
students 1
superficial 1
system 1
take 1
taught 1
teacher 6
teachers 7
tests 3
than 1
that 10
the 26
their 9
them 7
themselves 1
these 2
they 20
thinkers 1
thinking 5
this 2
thought 1
through 1
to 20
truth 1
try 2
trying 1
understand 2
understanding 2
unintelligent 1
up 1
use 1
value 1
very 1
waiting 1
wants 1
was 1
weeks 1
were 1
what 4
when 5
which 2
while 1
why 1
wild 1
will 1
with 4
works 1
world 1
wrong 1
year 1
yes 1
young 1
