4665158
/m/0cg596
/m/0cg596
Judy Blundell

a 5
an 1
anakin 2
and 4
are 1
as 1
aside 1
be 1
between 1
by 2
conflicts 2
council 1
daring 1
death 1
depend 1
distracted 1
doubt 1
duties 1
entire 1
feelings 1
focused 1
for 1
free 1
fulfill 1
guilt 1
has 1
headstrong 1
himself 1
his 1
if 1
is 1
it 1
jedi 2
kenobi 1
last 1
lessthanperfect 2
lives 1
masterpadawan 1
member 1
mentor 1
mission 1
must 2
normally 1
not 2
obiwan 2
of 3
on 1
personal 1
plagued 1
planet 2
preventing 1
put 1
puts 1
relationship 1
remain 1
republic 1
rescue 1
reservations 1
resolve 1
seeing 1
skywalker 1
student 1
system 1
tense 1
test 1
the 8
their 3
they 1
this 1
to 6
two 1
undertake 1
uziel 1
