4395803
/m/0b_zs4
/m/0b_zs4
Bernard Cornwell
2005-10-03
{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
876 1
878 1
a 10
abbey 1
accused 2
across 1
alfred 7
alive 1
ally 1
an 3
and 20
another 1
are 1
armoured 1
army 1
as 1
asser 2
at 4
athelney 1
attack 1
attacking 1
attacks 1
audience 1
back 1
based 1
battle 2
be 1
becomes 1
being 1
betrayal 1
between 2
boat 1
bodyguard 1
bored 1
both 1
british 1
britons 1
build 1
by 2
carries 3
church 1
cippanhamm 2
coast 2
comes 1
cornwall 1
court 2
crowd 1
cut 1
cynuit 2
danes 1
danish 3
death 2
debt 1
dispute 1
duel 2
during 2
dyfed 1
eanfld 1
end 1
enemy 1
enough 1
enter 2
escape 1
escapes 1
estate 1
ethandun 1
false 1
few 2
fields 1
fight 3
fighting 1
for 2
force 1
four 1
free 1
friend 1
fully 1
goes 2
great 1
guthrum 3
hall 1
has 1
have 2
he 4
hide 2
him 1
himself 2
hires 1
his 7
hoard 1
horse 2
however 2
in 5
insists 1
instrumental 1
into 1
invading 1
is 7
iseult 3
island 1
joined 1
kill 1
killed 2
king 5
laden 1
land 1
led 1
left 1
leofric 3
loyal 1
made 1
makes 1
marsh 1
men 2
mildrith 1
monk 1
months 1
named 1
nightfall 1
odda 1
of 12
off 2
on 2
only 1
onto 1
ordered 1
out 1
part 1
passenger 2
peace 2
peredur 4
pillage 1
pious 1
previously 1
queen 1
raid 1
raiding 1
raids 1
reach 1
relieve 1
returns 1
ruled 1
sail 1
scattered 1
serpentbreath 1
settle 1
settlement 2
shadow 1
ship 2
short 1
should 1
snotor 1
steapa 3
summons 1
svein 5
swamp 2
swamps 1
sword 1
takes 1
tavern 1
testimony 2
that 2
the 34
their 1
them 1
then 2
they 6
to 17
tornake 1
treasure 2
turns 1
ubba 1
uhtred 15
until 3
up 1
using 2
uthred 1
wales 2
wander 1
warrior 2
was 2
way 1
ways 1
weeks 1
wessex 2
when 2
where 4
whereas 1
white 2
who 4
whom 1
wife 2
witan 1
with 5
within 1
witnesses 1
wrongfully 1
younger 1
