11146567
/m/02r1kzw
/m/02r1kzw
Wilfred Fienburgh


a 9
alice 1
allows 1
amount 1
analysis 1
and 6
appears 1
are 3
around 1
art 1
as 2
aspects 1
associated 1
at 1
attempts 1
be 3
being 1
belongs 1
braine 1
british 1
but 1
by 4
byrne 4
century 1
certain 1
change 1
clear 1
cliched 1
cold 1
conflicts 1
considered 1
contention 1
credible 1
cupidity 1
cyphers 1
darker 1
delaney 1
desultory 1
driven 1
end 1
ending 1
escapes 1
even 1
events 1
examine 1
existence 1
failed 1
feet 1
find 2
for 1
forms 1
genre 1
handled 1
has 1
he 1
him 1
himself 1
his 8
illserved 1
illuminate 1
in 4
inaction 1
individuals 1
influence 1
internal 1
irony 1
is 3
it 4
john 2
johnnie 2
lands 1
legerdemain 1
life 1
light 1
literature 1
makers 1
mary 1
matters 1
may 3
mercy 1
merit 1
much 1
narrative 1
negotiates 1
neighbour 1
new 1
novel 1
novels 1
of 8
on 1
osborne 1
other 1
own 3
paradoxically 1
pauline 1
pawn 1
piece 1
point 1
political 1
politically 1
politics 1
powerful 1
reader 1
realist 1
relationship 1
relationships 1
rereadings 1
reveal 1
scrutiny 1
seem 1
sense 1
shelagh 1
so 1
social 1
some 1
standards 1
structure 1
stylistically 1
that 4
the 12
their 1
there 1
they 1
though 1
tight 1
to 6
too 1
trite 2
twentyfirst 1
under 1
verismo 1
very 1
voices 1
vulnerable 1
wave 1
way 1
weak 1
weight 1
were 1
where 1
who 1
whose 1
wife 1
will 1
with 4
woman 2
world 1
writers 1
young 1
younger 1
