18124467
/m/04ctrfd
/m/04ctrfd
Dean Koontz
2008-06-24
a 24
abandoned 1
abilities 1
ability 1
able 2
address 2
again 1
all 1
along 1
always 1
an 3
and 25
angelica 3
appears 1
are 1
as 4
asks 1
assigns 1
at 3
attention 1
babysitter 2
babysitting 1
back 1
be 4
been 2
before 1
begins 1
believed 1
believes 1
bernshaw 6
body 1
borrow 1
boy 4
break 1
bring 1
bringing 1
bullet 2
but 5
by 2
can 1
car 3
case 1
catch 1
chair 1
chance 1
chase 1
chased 1
chief 3
childhood 1
children 2
collapses 1
comes 1
concentrates 1
confess 1
confidence 1
containing 1
corner 1
cornered 1
custody 1
cut 1
deal 1
decide 1
deduces 1
details 1
devil 2
discovered 1
discovers 1
disturbing 1
dog 1
doors 1
draws 1
drives 1
each 2
earlier 1
embarks 1
empty 1
ending 1
ends 1
escape 1
escorts 1
everything 1
fears 1
fights 1
find 4
finds 1
fired 1
fires 1
first 1
flees 1
for 2
four 2
free 1
friend 2
from 5
ghost 4
giant 1
girl 1
girlfriend 1
given 1
gives 2
glued 1
gnome 1
grab 1
guard 2
gun 2
happy 1
has 4
have 4
he 16
headway 1
help 1
her 2
him 9
himself 1
his 7
holding 1
house 4
houses 1
identity 1
if 1
in 3
informs 1
insisting 1
into 3
is 8
joey 2
just 1
justice 1
killer 6
kills 2
kyle 1
last 1
lawn 1
leads 1
leaving 1
left 2
leg 1
license 1
lies 1
limited 1
little 1
llewellyn 1
locate 1
loses 1
made 1
magazines 1
magnetism 1
make 1
man 5
managed 1
mannequin 1
may 1
media 1
minute 1
months 1
most 1
move 1
murderer 1
musing 1
mutilated 1
mysterious 1
named 2
nearby 2
neighborhood 1
night 1
not 1
note 2
notes 2
novel 1
odd 26
of 12
off 2
on 5
one 3
only 1
open 1
out 2
over 1
parents 2
person 1
piles 1
plates 1
police 3
policeman 1
porter 3
powers 1
prequel 1
pretends 1
protection 1
psychic 1
quarry 1
quest 1
race 1
realizes 1
received 1
refuses 1
rehire 1
relates 1
resolve 1
resulting 1
reveal 1
revealing 1
ricochets 1
saved 1
sees 1
serves 1
several 1
shares 1
she 2
sheldon 1
sherry 7
shoots 1
shows 1
slaughterhouse 1
so 1
sold 1
some 1
soul 1
soulmate 1
spend 1
stakeout 1
stalker 3
storm 1
stormy 8
story 1
street 1
subdue 1
success 1
suspicious 1
taken 1
taking 1
target 1
targets 1
taunting 1
that 11
the 44
them 2
they 5
things 1
this 3
thomas 1
threatens 1
threats 1
throws 1
to 28
together 1
too 1
traces 1
trade 1
trap 1
traveling 1
tries 1
trips 1
trunk 1
trust 1
turns 2
two 1
under 1
until 1
up 1
using 1
van 2
veiled 1
very 1
vicious 1
wants 1
was 2
we 1
when 3
where 3
which 2
while 1
will 1
with 6
world 1
wyatt 1
young 1
