8384283
/m/0271l9w
/m/0271l9w
Roderick Thorp

{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/0lsxr": "Crime Fiction"}
a 6
about 1
affair 1
an 1
and 5
as 2
at 2
because 1
begins 1
but 1
by 1
can 1
case 1
chair 1
coded 1
colin 6
confession 1
connected 1
conversation 1
corruption 2
death 1
deceased 1
decipher 1
deepens 1
department 1
detective 2
different 1
discovers 1
dr 1
during 4
earlier 1
electric 1
eventually 1
everything 1
evidence 1
executed 1
felix 1
find 1
first 1
for 1
former 1
friends 1
from 1
guards 1
had 3
he 3
her 3
him 1
himself 1
his 1
homicide 1
husband 2
ii 1
in 2
interviews 1
introduces 1
investigating 1
investigation 2
it 3
joe 2
karen 1
killed 1
knew 1
knowing 1
leikman 2
leland 11
life 1
maciver 3
man 1
managed 1
mentioned 1
mike 1
military 1
mother 1
murder 1
murderer 1
neighbor 1
norma 4
notes 1
obtained 1
of 3
out 4
paper 1
partner 1
past 1
personally 1
petrakis 1
police 1
private 1
recently 1
requests 2
reveal 1
reveals 1
roberts 1
roommate 1
same 1
security 1
served 1
subsequently 1
supposedly 1
teddy 1
tesla 2
that 5
the 9
their 1
therapist 1
times 1
to 3
track 1
trail 1
true 1
turned 1
turns 2
uncovers 1
unit 1
war 1
was 5
wendell 3
where 1
whom 1
widowed 1
wife 2
with 3
world 1
