2998715
/m/08jnqv
/m/08jnqv
Christopher Paolini
2008-09-20
a 16
after 10
aid 1
allows 1
almost 1
alongside 2
also 1
among 1
an 2
and 27
anhin 1
are 1
arranged 1
arya 2
as 4
assassination 1
attack 2
attempting 1
attend 1
az 1
battle 1
be 1
before 3
begins 3
behind 1
being 1
belongs 1
beor 1
betrothed 1
blacksmith 1
both 1
brisingr 2
brom 1
but 2
by 2
capital 1
casualties 1
cause 2
challenges 1
channel 1
charged 1
child 1
city 2
clan 1
collecting 1
combat 1
come 1
command 1
commander 3
communicate 1
conduct 1
convoy 1
coronation 1
create 2
deceased 3
depart 1
departs 1
despite 1
discover 1
discovers 1
dragon 4
dragons 1
draw 1
during 1
dwarf 3
dwarves 2
earned 1
eldunar 3
eldunarya 3
elected 1
election 1
elf 2
ellesmra 1
elven 3
elves 1
empire 3
enchanted 2
enemy 2
energy 2
enforce 1
eragon 18
even 1
exile 1
extreme 1
fail 1
failed 1
fails 1
father 1
feinster 1
fight 1
fighting 2
find 1
flee 1
flogged 1
for 6
force 3
forces 2
forcing 1
forges 2
found 1
from 2
galbatorix 4
gives 2
glaedr 6
group 1
guarded 1
hand 1
has 2
have 1
having 1
he 5
heart 1
hearts 1
held 1
helgrind 1
help 1
him 4
his 7
holder 1
hundred 1
idea 1
if 1
in 6
indirect 1
insubordination 1
into 1
invading 1
is 14
islanzad 1
it 2
joins 1
just 1
katrina 4
kill 4
killed 1
kills 2
king 2
large 1
leader 2
leadership 1
leading 1
leaves 1
losing 1
lure 1
made 1
magicians 3
managed 1
marries 1
meanwhile 1
men 2
mentor 1
midst 1
military 1
mission 3
missions 1
mountains 1
murtagh 5
names 1
nasuada 3
new 4
ninety 1
of 22
on 2
once 2
one 3
openly 1
operation 1
oppose 1
or 2
orders 2
orik 3
oromis 5
part 2
plans 2
possesses 1
power 1
pregnant 1
prisoner 1
promotes 1
public 1
punishment 1
queen 1
racing 1
raiding 1
rak 1
razac 3
remaining 1
replaced 1
rescue 1
rescues 1
return 2
returning 1
returns 1
reveal 1
reveals 1
rhunn 2
riders 1
roran 10
sanctuary 1
saphira 6
saving 1
says 1
seizure 1
sends 1
sent 1
shade 2
shortly 1
showing 1
side 1
siege 3
small 1
soldiers 2
source 1
spellcasters 1
spent 1
squad 1
stays 1
submit 1
successful 1
suffers 2
supply 1
sweldn 1
sword 1
swords 1
sympathies 1
target 1
targets 1
tells 1
that 4
the 63
their 2
then 2
there 2
they 2
thorn 2
three 2
through 2
thus 1
time 1
to 30
together 1
train 1
training 1
travel 1
tries 1
troops 1
unit 3
urgal 2
urgals 2
uses 1
varaug 1
varden 8
various 1
very 1
victory 1
village 1
vision 2
visits 1
wagons 1
was 1
way 1
wedding 1
when 2
which 3
while 2
whipping 1
who 2
whom 2
winning 1
with 4
work 1
working 1
wrestles 1
yarbog 1
years 1
