2663746
/m/07w9f5
/m/07w9f5
Douglas Niles

1st 1
2nd 1
a 6
add 1
adventure 1
alternatives 1
and 3
are 1
assassin 1
at 1
bandit 1
battle 1
battles 2
battlesystem 4
bloodstone 1
character 1
city 1
class 1
considerable 2
consists 1
could 1
depicting 1
designed 1
do 1
dungeon 1
edition 2
feel 1
fight 1
fighting 1
for 2
from 1
full 1
getting 1
horde 1
in 1
includes 1
information 1
is 1
itself 1
likely 1
main 1
makes 1
miniatures 1
module 5
not 2
notably 1
occur 1
of 6
out 2
parts 1
players 1
points 1
portion 1
preparation 1
provides 1
removed 1
rid 1
rules 1
scenario 1
scenarios 1
several 1
small 1
some 1
take 1
that 1
the 11
there 1
they 1
those 1
to 3
two 1
use 2
value 1
want 1
war 2
wars 1
were 2
which 2
while 1
who 1
without 1
would 1
