4774263
/m/0cmm_0
/m/0cmm_0
Jack Vance

a 6
ailie 1
all 1
allow 1
and 3
as 1
before 1
botanist 1
break 1
by 1
called 1
enough 1
evolved 1
exporting 1
farr 1
female 1
giant 1
goes 1
great 1
growth 1
have 1
high 1
him 1
homes 1
human 1
inhabitants 1
into 1
is 1
iszic 2
iszm 2
jealouslyguarded 1
keep 1
known 1
like 1
living 1
luxuries 1
maintain 1
make 1
many 2
might 1
monopoly 2
native 1
natural 1
needs 1
of 3
off 1
only 1
others 1
own 1
planet 1
prices 1
profit 1
propagation 1
protagonist 1
species 3
steal 1
supplied 1
the 9
to 3
tree 1
trees 3
various 1
which 1
who 1
with 1
world 1
