3766325
/m/09zw4r
/m/09zw4r
Janet Evanovich
2005-06-21
a 5
adding 1
again 1
all 2
an 1
and 4
at 3
attempting 1
attempts 1
barely 1
basis 1
being 1
between 1
blown 1
bounty 1
bountyhunting 1
boyfriend 1
business 1
but 1
button 1
cars 1
chicken 1
cluckinabucket 1
constantly 1
day 1
discover 1
done 1
drycleaning 1
enough 4
exprostituteturnedbountyhunter 1
factory 1
fairly 1
family 1
finer 1
grasp 1
had 1
has 2
having 1
her 6
hunting 1
illfated 1
in 2
is 2
it 2
job 1
kankleen 1
kill 2
knows 2
life 1
lula 1
must 1
normal 1
not 1
of 4
on 3
onandoff 1
once 1
only 2
periods 1
plum 2
protective 1
retires 1
semifunctional 1
semiregular 1
service 1
serving 1
she 4
short 1
shot 1
side 1
so 1
someone 3
stephanie 1
survive 1
the 5
thinks 1
this 1
time 1
to 4
too 1
troubles 1
trying 1
up 1
various 1
very 1
wants 1
well 1
while 1
who 3
with 1
working 1
yet 1
