24342325
/m/07s70t2
/m/07s70t2
Patrick Ness
2010
{"/m/06n90": "Science Fiction", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
1017 2
a 41
ability 1
able 1
about 4
absolute 1
abstracts 1
accept 1
accusations 1
accusing 1
acid 2
acknowledge 1
acorn 1
acquiring 1
act 1
action 1
actions 1
actually 1
additional 2
adoptive 1
affect 1
after 7
again 1
against 2
aggressive 1
agrees 1
aid 1
aiding 1
alive 1
all 3
allows 1
aloe 1
alone 1
along 1
already 1
also 1
am 1
an 4
and 114
anger 3
angered 1
angharrad 2
angharrd 1
angrily 1
angry 1
announces 1
another 2
answer 5
antibiotic 1
any 1
anymore 2
anything 2
apologises 1
appear 1
archers 1
are 13
arguing 1
arm 1
armies 2
army 4
around 1
arrive 2
arrives 2
arrows 1
artillery 3
as 12
asks 7
assembles 1
at 17
attack 5
attacked 1
attacking 3
attacks 2
attempt 2
attempts 3
attend 1
audible 1
audience 1
away 4
back 6
ballistic 1
band 4
bandages 1
banned 1
barrel 1
base 1
battle 1
battlemore 2
battlemores 1
be 9
beat 1
beaten 1
beautiful 1
because 1
become 1
becomes 3
becoming 1
been 7
before 3
beforehand 1
began 1
begin 2
begs 1
behind 1
being 4
ben 14
betrayed 1
between 1
bitter 1
blew 1
blocking 1
blocks 1
body 1
bomb 2
bombs 2
booing 1
book 2
boomerang 2
bowlaunched 1
bows 1
box 1
boy 1
bradley 12
bradleys 2
bridge 1
brings 1
brought 1
bullock 1
burden 1
burning 1
burst 1
but 17
by 17
call 2
called 1
calling 2
camp 3
campers 1
campfire 1
can 7
cannot 2
capable 1
captain 1
captains 1
captured 3
care 1
cares 1
catastrophic 1
caught 1
cause 1
caused 1
causes 2
causing 1
ceasefire 1
ceremony 1
changed 2
chemicals 1
chest 1
circle 2
citizens 1
city 2
claims 1
clearing 1
cluster 1
cohesion 1
coma 1
come 2
comfort 2
comm 1
commits 1
communicate 1
communications 1
concerned 1
conditions 1
confusion 1
congratulates 1
consequently 1
considered 1
continue 1
continues 1
control 2
controlled 3
convey 1
convinced 3
convinces 1
convoy 2
cover 1
coyle 11
creatures 1
cure 7
cured 1
cut 1
cuz 1
cycles 1
dam 1
day 2
decide 1
decides 2
decision 1
declares 1
defend 1
delivering 1
delivers 1
demands 1
demolished 1
desires 1
despite 1
destroy 1
destroyed 1
destroying 1
diary 2
did 1
die 1
dies 2
different 1
direction 2
disappears 1
disappointed 1
disclose 1
discovery 1
disperse 1
dissuade 1
do 4
does 2
doesnt 3
done 2
down 3
driving 1
drops 1
drowned 1
during 1
dying 1
easily 1
eats 1
either 1
elaborate 1
embrace 1
encampment 2
end 3
endlessly 1
ends 2
enormous 1
enter 1
entering 1
entity 1
epilogue 1
established 1
eventually 1
every 1
everyday 1
everyone 1
everything 1
evolved 1
exhaustion 1
exists 1
experiences 1
explain 1
explode 1
explosion 1
extra 1
faced 1
fact 1
fails 1
far 1
farbranch 2
faster 1
father 1
feeds 1
feeling 1
feels 2
felt 1
few 1
fifteen 1
fight 2
fights 1
finally 1
finds 3
fine 1
fire 3
fired 2
first 4
fish 1
flare 1
flood 1
foiling 1
food 2
for 16
forced 2
forces 3
forfeit 1
forgive 1
found 2
freed 1
friends 1
from 11
front 1
fuel 2
fully 1
genocide 1
germ 1
get 3
getting 1
giving 1
go 2
good 1
grabs 1
grandfather 1
grandson 1
greets 1
groups 1
had 8
hand 1
happen 1
happiness 1
harder 1
has 11
hastily 1
hates 1
have 7
having 2
he 51
headed 1
healer 1
healing 1
hear 4
hears 2
heavily 1
hell 1
help 2
her 17
here 1
hesitantly 1
hiding 1
hill 1
hillside 1
hilltop 1
him 27
himself 2
his 31
hit 1
hits 2
hitting 1
hold 1
honest 1
hope 1
hopes 2
hoping 1
horrified 2
horse 3
horses 1
house 2
how 6
however 10
human 2
humanitarian 1
humans 1
hurt 2
i 2
id 2
if 5
ignoring 1
ill 1
immediately 1
in 28
inadvertently 1
incapacitate 1
including 1
individual 1
infection 4
instead 1
intent 1
intentions 1
interrupts 1
into 6
is 49
isnt 1
