9383142
/m/02pgn7x
/m/02pgn7x
Jeremy Scahill
2007-02-15

a 5
afghanistan 2
also 1
and 9
argues 2
armies 1
as 1
assistance 1
at 1
authority 1
blackwater 6
book 2
by 1
cold 1
company 1
consequence 1
constraints 1
contends 1
contracting 1
demobilisation 1
describes 1
details 1
enjoying 1
erik 1
exists 1
figures 1
following 1
force 1
founder 1
from 1
further 1
growth 1
guard 1
has 1
he 1
his 1
how 1
ideology 1
immunity 1
in 7
iraq 3
is 2
its 2
judgement 1
leadership 1
like 1
mercenary 1
military 2
motivated 1
of 6
on 2
overextension 1
pakistan 1
parts 1
praetorian 1
present 1
prince 1
private 1
protecting 1
provided 1
regulations 1
republican 1
rightwing 1
rise 2
scahill 2
security 1
serves 1
significant 1
some 1
terrorism 1
that 5
the 11
time 1
top 1
traditional 1
us 1
usa 1
usual 1
venue 1
war 3
was 1
writing 1
