790417
/m/03cdtz
/m/03cdtz
Ian Stewart
2001
100 1
a 7
able 1
adventures 1
after 2
albert 1
all 1
almost 1
also 2
and 7
any 1
are 1
as 3
basement 1
begins 1
being 1
between 1
body 1
book 1
but 1
by 1
can 1
character 1
children 1
complete 1
copy 1
dimensions 3
discuss 1
discussed 1
domain 1
find 1
finds 1
flatland 2
for 1
fractional 1
from 1
geometry 1
gigantic 1
greatgreatgranddaughter 1
grin 1
hawk 1
he 1
her 4
higher 1
his 2
hopper 4
horns 1
hyperbolic 1
imaginable 1
in 3
instead 1
intersecting 1
invite 1
is 1
isolated 1
king 1
level 1
like 1
line 1
lions 1
looking 1
mathiverse 1
modern 1
more 2
move 1
of 4
out 1
plain 1
points 1
projective 1
prompts 1
quantum 1
related 1
relativity 1
set 1
she 1
showing 2
somewhat 1
space 4
spaceland 2
sphere 1
spherical 1
square 1
stands 1
such 1
than 1
that 1
the 9
theories 1
theory 1
this 1
time 1
to 5
topology 1
toy 1
travel 2
victoria 2
vikki 2
visit 2
visited 1
we 1
well 1
were 1
which 1
with 3
worlds 1
years 1
