6002269
/m/0fk2bf
/m/0fk2bf
Joseph Delaney
2006-07-06
{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
a 4
about 1
against 1
alice 3
all 1
and 13
anglezarke 3
are 1
arises 1
at 1
back 1
barely 1
be 1
becomes 1
been 1
but 3
chronicles 1
could 1
decreases 1
dosage 1
drawing 1
drugged 1
face 1
favour 1
finds 2
for 3
full 1
fully 1
giving 1
harm 1
has 2
have 1
he 2
head 1
heard 1
help 3
her 3
him 1
his 1
house 3
hursts 2
in 3
indeed 1
inhabitants 1
injured 1
instalment 1
is 4
it 2
keeping 1
leave 1
liking 1
lively 1
master 1
meets 1
meg 4
menacing 1
moor 1
more 1
move 1
moves 1
nights 1
nothing 1
odds 1
of 3
other 1
out 1
owe 1
place 1
potion 1
prepare 1
pulls 1
reach 1
rock 1
secrets 1
severely 1
she 3
sinister 1
so 2
spirit 1
spook 8
still 1
takes 1
task 1
terrifying 1
that 1
the 16
then 2
there 2
they 3
third 1
this 2
through 1
throwing 1
time 1
to 7
tom 6
trouble 1
undertakes 1
wardstone 1
weak 1
what 1
when 1
who 1
whole 1
will 1
win 1
winter 2
with 3
wouldnt 1
youth 1
