4435553
/m/0c2730
/m/0c2730
Jules Verne
1888
5056 1
66 1
7447 1
a 5
able 1
adventures 1
aged 1
aid 1
alcohol 1
all 1
american 1
amongst 1
an 2
and 9
animals 1
are 4
ashore 1
at 2
auckland 1
be 1
been 1
between 1
board 1
boy 1
boys 4
briant 1
british 1
brothers 1
by 2
cast 2
catch 1
caught 1
chairman 1
chilean 1
circumstances 1
close 2
coast 1
crew 2
days 1
defeat 1
dominance 1
drifts 1
drugs 1
echoed 1
eight 1
escape 1
even 1
exception 1
find 2
flies 1
for 2
fourteen 1
french 1
from 1
go 1
golding 1
gordon 1
group 1
had 1
hanoverisland 1
in 2
intent 1
is 2
island 4
it 1
jack 1
later 2
located 1
lord 1
make 1
many 1
members 1
moored 1
moorings 1
mutineers 2
name 1
new 1
next 1
of 8
off 2
oldest 1
on 4
original 1
out 1
over 1
passing 1
preparing 1
remain 1
s 1
schoolboys 1
schooner 2
sea 1
set 1
ship 3
shore 1
sinks 1
sixweek 1
some 1
starts 1
storm 1
story 1
struggles 1
survival 1
survive 1
surviving 1
taken 1
the 23
their 1
themselves 1
there 1
they 4
to 6
trafficking 1
trying 1
twentytwo 1
two 3
uncharted 1
under 1
unknown 1
until 1
upon 1
vacation 1
vicinity 1
w 1
weapons 1
were 1
where 1
which 2
while 2
wild 1
william 1
with 3
written 1
years 2
zealand 1
