14423375
/m/03d3279
/m/03d3279
Amy Tan
2005
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
11 1
a 1
after 1
against 1
an 1
and 3
article 1
as 1
away 1
before 1
bibi 1
book 1
burma 2
chen 1
children 1
christmas 1
chronicle 1
continues 1
cruise 1
dies 1
explores 1
fate 1
first 1
five 1
four 1
francisco 1
friends 1
from 2
have 1
her 1
hidden 1
in 2
including 1
insecurities 1
is 1
journey 1
leader 1
men 1
morning 1
mysteriously 1
narrative 1
novel 1
of 2
omniscient 1
on 3
opens 1
over 1
person 1
place 1
political 1
relationships 1
sailing 1
san 1
set 1
situation 1
stating 1
story 1
strengths 1
takes 1
that 1
the 10
their 1
then 1
they 1
through 1
to 1
told 1
tour 1
tourists 2
towards 1
trip 1
two 1
uneasy 1
unexpectedly 1
vanished 1
watch 1
who 2
with 1
women 1
