349770
/m/01z3pl
/m/01z3pl
Maxwell Anderson


14 1
a 8
absalom 8
accepts 1
african 1
ahead 1
alex 3
alone 1
also 2
and 12
are 1
arthur 2
as 1
asks 1
at 1
august 1
avoid 1
be 1
become 1
been 1
beloved 1
between 1
big 1
bird 1
black 1
both 1
brother 1
but 4
can 2
care 1
child 1
church 1
clock 1
convince 1
could 1
country 1
court 1
crisis 1
cry 1
decides 1
despite 1
die 1
different 1
during 1
either 1
enough 1
execution 1
facing 1
faith 2
father 2
finally 1
flock 1
for 2
four 1
freed 1
friend 1
friends 3
friendshipand 1
from 2
get 1
girlfriend 1
goes 1
gold 1
grace 1
guidance 1
had 1
hang 1
has 1
have 1
he 8
help 2
her 1
hills 1
him 2
his 12
home 1
how 1
in 9
irina 3
is 6
it 2
ixopo 1
jail 1
jailed 1
jarvis 2
johannesburg 3
john 1
kills 1
knows 1
kumalo 2
learns 2
leave 1
letter 1
lie 2
life 1
live 1
lives 1
locates 1
longer 1
lost 2
man 2
mark 1
me 1
meet 1
miles 1
mines 2
minister 1
mole 1
money 1
morning 1
murdered 1
mutual 1
ndotsheni 2
no 1
not 2
now 2
o 1
oclock 1
of 13
offers 1
on 1
or 1
out 1
part 1
passage 1
pays 1
performs 1
plans 1
prays 1
pregnant 1
priest 1
prison 1
races 1
realized 1
realizes 1
recognition 1
repentant 1
returns 1
rev 1
robbery 1
seek 1
sentenced 1
shaken 1
she 1
sister 3
so 1
son 4
sons 1
sorrow 1
south 1
st 1
stars 1
start 1
steal 1
stephen 11
stilldark 1
strike 1
take 2
tell 3
tells 3
that 4
the 19
their 4
then 1
they 2
thousands 1
tixo 2
to 14
travel 1
trial 1
tries 1
trouble 2
truly 1
truth 2
two 1
unexpectedly 1
village 1
visit 1
waits 1
wedding 1
white 1
who 3
wife 1
will 1
with 3
wonders 1
works 1
young 1
