22568839
/m/05zzydd
/m/05zzydd
Meg Cabot
2004-12-28
{"/m/03mfnf": "Young adult literature"}
4 1
a 7
about 2
abruptly 1
accident 1
after 5
afterwards 3
again 1
agrees 2
also 1
always 1
and 15
are 1
at 7
away 1
back 2
be 2
beat 1
becomes 1
been 2
being 2
believes 2
book 2
brad 1
brother 1
but 2
by 2
can 1
catamaran 1
cemetery 1
come 1
craig 7
crush 1
darkest 1
day 1
deal 1
died 1
dies 1
disappears 1
dominic 1
door 1
dr 1
drags 1
drives 1
during 4
end 1
ends 1
extremely 1
father 2
feast 1
fight 1
finds 1
first 1
friend 1
from 3
future 1
ghost 1
goes 1
going 3
grandfather 1
had 1
happiness 1
has 1
have 1
he 2
hearing 1
her 9
high 1
him 2
his 3
home 2
hospital 1
hosts 1
hottub 1
hour 1
house 3
hurting 1
if 1
in 3
is 2
jake 1
jankow 2
jesse 9
just 1
kill 1
killing 1
kissed 1
kisses 1
kissing 1
later 1
learns 6
leaves 1
leaving 1
life 1
listen 1
love 1
loved 1
mad 2
make 1
makes 1
mediator 2
meets 4
met 1
mission 1
more 2
nearly 1
neil 6
never 1
not 2
of 3
on 1
once 1
one 1
opens 1
order 1
over 1
overjoyed 1
party 3
paul 10
protect 1
rectory 1
return 1
revisit 1
runs 2
school 2
serra 1
she 6
shifters 1
should 1
simon 1
slaski 1
slater 1
so 1
soon 2
spend 1
spirit 2
stating 1
stepbrother 1
story 1
strongly 1
summer 1
susannah 1
suze 20
takes 2
tell 1
telling 1
tells 3
than 2
that 10
the 19
there 1
they 3
this 3
time 1
to 17
tries 2
trip 1
truly 1
unknowingly 1
up 1
visits 1
we 1
week 1
were 1
what 2
wheel 1
who 1
whom 1
will 2
with 4
world 2
