10830523
/m/02qrchb
/m/02qrchb
Gore Vidal

a 6
about 1
accidental 1
adding 1
after 1
aid 1
alien 1
all 1
an 2
and 5
appearances 1
as 2
author 1
bears 1
become 1
bellamy 1
book 2
bordered 1
both 1
bringing 1
by 2
cameo 1
can 1
cases 1
cast 1
cerise 1
character 1
characters 2
city 4
clichs 1
computer 2
constructions 1
continue 1
control 1
corrupt 1
craig 1
describes 1
die 2
duke 1
duluth 4
earth 1
end 2
erasing 1
errors 1
experimental 1
face 1
fast 1
flying 1
from 1
generates 1
geographical 1
grammatical 1
handcuffed 1
handcuffs 1
hands 1
hardballin 1
her 3
herself 1
his 1
historical 1
however 1
human 1
ii 1
in 7
inhabitants 1
insectoid 1
interacting 1
inventions 1
is 2
its 1
kantor 1
klein 1
lane 1
living 1
magazine 1
making 1
mangled 1
meddling 1
members 1
michigan 1
minneapolis 1
mysterious 1
name 1
novel 2
now 1
numerous 1
of 12
on 2
one 2
other 1
pages 1
plays 1
politics 1
popular 1
race 1
real 1
redbook 1
refers 1
resemblance 1
residents 1
rogue 1
romance 1
rosemary 1
same 1
saucer 1
scant 1
screen 1
seize 1
serialized 1
series 1
she 1
shift 1
show 2
side 1
some 1
spectacularly 1
television 1
tense 1
texts 2
that 1
the 24
there 1
they 2
three 1
through 1
throughout 1
to 5
tv 3
unusual 1
up 1
use 1
vidal 1
when 2
who 1
whose 1
with 2
women 1
written 1
