172010
/m/0173pn
/m/0173pn
Maurice Shadbolt
1987-02-01
10 2
186 1
1868 1
a 5
ability 1
about 1
admired 1
air 1
almost 1
altogether 1
ambivalence 1
an 2
and 12
around 1
as 3
attempts 1
away 1
back 1
beginning 1
billy 1
book 1
boy 1
brief 1
british 1
budd 1
but 1
by 2
character 1
charged 1
cloud 1
coalesces 1
colonial 2
colonials 1
commander 1
competent 1
composite 1
conclusion 1
coupled 1
cultivates 1
cynical 1
depths 1
described 1
desperate 1
destroy 1
detachment 1
development 1
disagreeably 1
drawn 1
during 1
early 1
end 1
ends 1
englishmen 1
epilogue 2
except 1
expanding 1
fairweather 3
fairweathers 3
far 1
feelings 1
fictional 1
figure 1
finds 3
first 1
former 1
forties 1
friend 1
from 1
further 1
future 1
george 1
growing 1
hamiora 2
hanging 1
hated 1
he 3
himself 1
his 5
historical 2
humanity 2
in 6
include 1
injustice 1
into 1
is 3
it 1
its 1
jews 1
kooti 4
kootis 1
landscape 1
leaves 1
love 1
maelstrom 1
melvilles 1
militia 1
mitigate 1
mori 2
moris 1
narrative 1
nemesis 1
new 2
not 2
november 2
of 13
officer 2
onetime 1
painter 1
paradoxically 1
perfecting 1
prevent 1
problem 1
protagonist 1
pursuing 1
racism 1
rebellious 1
reminiscent 1
resentment 1
resolved 1
revealing 1
save 1
service 1
shadbolts 2
still 1
story 1
struggling 1
surprise 1
te 5
the 16
then 1
this 1
throws 1
to 6
treason 1
turns 1
under 1
unjustly 1
war 1
wars 1
while 1
who 2
with 3
world 1
worldly 1
year 1
yet 2
zealand 2
