1638910
/m/05jr4x
/m/05jr4x
Walter Scott
1821-01-08
{"/m/0hwxm": "Historical novel"}
a 22
about 1
access 1
accompany 1
accomplice 1
accordingly 2
acted 1
added 1
adventures 1
afraid 1
after 3
afterwards 1
against 2
agitated 1
alasco 1
all 1
alone 1
already 1
amy 13
an 5
and 33
apartment 1
appear 1
approaches 1
arriving 1
as 6
asking 1
assist 1
astrologer 1
at 7
attempt 1
attendant 2
attended 1
authority 1
avoid 1
back 1
be 7
bearing 1
been 3
before 1
begged 1
begging 1
behalf 1
bereft 1
besought 1
between 1
boldly 1
bride 1
bridegroom 1
bridge 2
brighter 1
broken 1
brother 1
but 3
by 15
bypaths 1
care 1
carried 2
case 1
castle 1
caused 1
cavalcade 1
cell 1
certain 1
charge 1
circuitous 1
coming 1
commanded 1
committed 1
conducted 1
confess 1
confessed 1
confided 1
connivance 1
consigned 1
convinced 1
cordial 1
cornish 1
cornishman 1
costly 1
countess 5
court 1
courtyard 2
crowd 1
cumnor 4
cure 1
cured 1
custody 1
dangerous 1
darken 1
daughter 2
day 1
death 1
declared 2
deputed 1
despatched 2
dickie 2
did 1
died 1
discovered 1
disordered 1
do 1
drink 1
duel 1
during 2
earl 11
effects 1
elizabeth 6
end 1
england 1
enquired 1
entering 1
entertain 1
entertainments 1
entrance 1
entrapped 1
entreated 1
escaped 2
escorted 1
estate 1
evening 2
expiration 1
falling 1
false 1
fate 1
father 2
favour 1
favourite 1
fell 1
flanders 1
flight 1
followed 1
following 1
for 8
former 1
forward 1
foster 2
found 3
from 8
further 1
gained 1
gardens 1
giles 1
gosling 1
grotto 1
guests 1
had 13
handed 1
have 3
having 5
he 11
head 1
heard 1
hearing 1
heart 1
heartache 1
help 2
her 25
him 5
himself 1
hinted 1
his 19
home 1
horse 1
host 2
hours 2
how 1
however 2
hugh 2
hunsdon 1
husband 1
if 1
ill 1
illness 1
implored 1
in 11
indignantly 1
inform 1
innkeeper 1
innocence 1
insisted 1
instant 1
instantly 1
instructions 1
interfere 1
interrupted 1
intervened 1
interview 1
into 2
introduced 1
introduction 1
invited 1
it 2
janet 1
joined 1
just 3
kenilworth 3
knees 1
knew 1
knighted 1
lady 2
ladylove 1
lambourne 4
laying 1
learn 1
leaving 1
left 1
leicester 8
letter 1
life 1
like 1
london 1
long 2
lord 1
lose 1
lost 1
made 1
madness 1
maid 1
many 1
marriage 3
marry 1
meanwhile 1
medical 1
mentally 1
messenger 1
michael 1
middle 1
might 3
mistress 1
money 1
morning 1
mother 1
mummers 1
murderer 1
must 1
narrow 1
nephew 1
nevertheless 1
news 1
next 3
night 1
no 1
not 6
note 3
numerous 1
obtain 1
obtaining 1
of 23
offered 1
on 9
once 2
only 1
ostensible 1
other 1
out 1
park 1
parted 1
party 1
passed 1
pedlar 1
people 1
permission 2
persuading 1
petition 1
place 1
pleaded 1
poison 1
poisoned 1
prepared 1
preparing 1
presence 2
present 1
presents 1
pretending 2
principal 1
proceed 1
proceeded 1
proceedings 1
produced 1
prospects 1
protection 1
prove 1
put 1
quarrelled 1
queen 6
raleigh 2
reached 2
reason 1
recalled 1
received 1
receiving 2
recovered 1
refused 2
reply 1
resentment 1
residence 1
restored 1
retired 1
return 1
returning 1
revels 2
richard 1
rival 2
robsart 2
room 2
royal 2
rushed 1
same 1
sanction 1
scapegrace 1
seat 1
seclusion 1
secret 3
secreted 1
servant 2
set 1
settled 1
several 1
she 20
shortly 1
shot 1
should 1
shown 1
signal 1
signetring 1
sir 3
sister 1
skeleton 1
sludge 1
smith 2
so 1
sold 1
soon 1
soothed 1
special 1
squire 3
stairs 1
started 1
startled 1
statement 1
stay 1
stepped 1
steward 1
stranger 1
succeeded 1
summoned 2
sussex 1
taken 1
that 12
the 63
their 2
them 1
then 3
there 2
they 2
this 4
thither 1
thronging 1
time 2
to 40
told 2
too 1
torches 1
tower 1
travelling 1
tread 1
treatment 1
tressilian 11
twentyfour 2
under 1
until 1
upon 1
variety 1
varney 9
very 1
visit 2
wager 1
waiting 1
walter 2
warned 1
warning 1
was 26
waxen 1
way 3
wayland 3
welcomed 1
were 1
when 3
where 4
which 3
while 1
whistle 1
whither 1
who 4
whom 1
wife 4
with 9
within 1
wooden 1
words 1
would 5
years 1
young 1
