34471214
/m/0h_bm26
/m/0h_bm26
Colin Bateman
2011-10-13
{"/m/0lsxr": "Crime Fiction", "/m/0vgkd": "Black comedy"}
a 5
across 1
although 1
and 5
any 1
as 1
ascertain 1
attempting 1
been 2
behind 1
being 1
belfast 2
broadcaster 1
brothers 1
burnt 1
by 2
caramac 2
chiefs 1
corruption 1
crime 1
dan 1
dissuade 1
down 1
drug 1
drugs 1
evict 1
eye 1
for 2
force 1
fouryearold 1
friend 1
from 1
given 1
group 1
have 2
her 1
him 1
hired 1
his 1
hoping 1
hour 1
house 2
illustration 1
inside 1
intent 1
interference 1
intervenes 1
investigate 1
investigations 1
is 2
it 1
jack 1
jean 2
jock 1
kidnapped 1
kidnapping 1
knowledge 1
lead 1
leads 1
merely 1
might 1
miller 1
millers 1
murray 2
named 1
now 1
number 1
of 7
offended 1
officially 1
old 1
on 1
one 1
operation 1
pedalling 1
people 1
prevalent 1
private 1
radio 1
repercussions 1
returned 1
road 1
selfstyled 1
shankill 1
shock 1
significant 1
son 1
staff 1
starkey 6
still 1
task 1
the 9
their 1
throughout 1
thugs 1
to 4
ulster 1
unharmed 1
upmarket 1
viewed 1
volunteer 1
who 1
widow 1
with 1
would 1
