1504603
/m/056hy4
/m/056hy4
Brian Herbert
1986
a 5
access 1
across 1
adolescent 1
aggressive 1
alien 1
all 2
an 2
and 3
as 2
battle 1
be 1
being 1
bodies 1
but 1
can 1
composite 1
confused 1
control 1
create 1
creation 1
destruction 1
discovering 1
distant 1
dreenor 2
dreens 2
earth 3
earther 1
earthly 1
elder 1
embarks 1
far 1
for 2
forced 1
from 1
future 1
gaining 1
galaxy 1
half 2
hand 1
has 1
he 1
his 1
home 1
human 1
idmaging 1
in 2
interstellar 1
into 1
is 4
it 1
its 1
itself 1
jaunt 1
lies 1
life 1
lives 1
merge 1
mind 1
most 1
naive 1
not 1
of 8
on 3
one 1
own 1
paradox 2
people 1
permitted 1
plan 1
planet 2
possess 1
power 1
powerful 1
reality 1
ryll 1
space 1
species 1
strong 1
suddenly 1
survival 1
the 12
their 1
they 1
thoughts 1
threat 1
to 4
travel 1
turning 1
unauthorized 1
ungovernable 1
universe 1
verge 1
which 1
while 1
who 1
whole 1
whose 1
wild 1
wily 1
with 2
within 1
worlds 1
youngster 1
