6776816
/m/0gnclf
/m/0gnclf
Lin Carter

a 1
and 2
aquilonia 1
as 1
becoming 1
beyond 1
border 1
but 2
by 2
chronologically 1
commander 1
comradesinarms 1
conan 2
conspiracy 1
events 2
evil 1
followed 1
following 1
forces 1
former 1
general 1
has 2
he 2
himself 1
if 1
is 1
joins 1
king 2
led 1
liberator 1
loyal 1
mad 1
not 1
numedides 2
of 8
on 1
only 1
overcome 1
overlaps 1
overthrow 1
phoenix 1
procas 1
prospect 1
rebel 1
sorcerer 1
spells 1
story 3
succeed 1
sword 1
the 15
they 1
thulandra 1
thuu 1
to 2
tranicos 1
treasure 1
troops 1
tyrannical 1
wolves 1
