3320223
/m/095mhg
/m/095mhg
Edwidge Danticat
2004
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 31
aborted 1
about 4
accepted 1
acknowledging 2
addresses 1
advice 1
after 4
again 2
aline 5
all 1
allow 1
also 6
america 1
an 2
and 30
angst 1
anne 4
answered 1
any 1
anymore 1
anything 1
appears 1
are 3
arrival 1
arrives 1
as 7
at 4
attempts 1
aunt 2
baby 1
back 3
backs 1
barber 1
basement 4
be 4
beatrice 7
because 3
become 2
been 4
before 1
big 1
book 4
both 1
breaker 2
bridal 2
brings 1
broken 1
brother 1
but 6
buy 1
by 4
cajuste 1
call 1
calling 1
car 1
chapter 1
characters 1
child 4
chouket 1
christmaseve 1
chronicles 1
clarifies 1
class 1
claude 5
college 2
comfort 1
community 2
completely 2
compliant 1
constant 3
constructed 1
contracts 1
corrected 1
could 1
country 1
county 1
coupled 1
cracked 1
criminal 1
danticat 2
dany 5
daughter 3
day 1
dead 1
demeanor 1
described 1
deserving 1
destination 1
detail 1
detailed 1
dew 2
didnt 1
different 1
diploma 1
discover 1
disturbance 1
do 1
doc 1
does 1
doesnt 1
door 1
due 1
during 1
duvalier 1
each 1
easily 1
echos 1
embrace 1
emmanuel 1
end 2
ends 1
epically 1
established 1
esteme 1
estina 1
estranged 1
even 2
ever 1
evers 2
everything 1
exile 1
exiled 1
expands 1
explained 1
explains 1
face 1
faithful 1
fall 1
falling 1
falls 1
familial 1
families 1
family 5
far 1
father 11
fear 1
features 1
feel 1
feels 1
feet 1
find 1
finds 1
first 1
five 1
flat 1
fled 1
flippant 1
for 8
forgive 1
forte 1
found 1
from 5
funeral 1
futures 1
get 1
girlfriend 1
gives 1
go 1
goes 1
gone 1
ground 1
guard 3
guide 1
guilt 2
had 4
haiti 7
haitian 4
hands 1
happen 1
happens 1
has 6
have 3
he 14
hed 2
her 20
him 6
his 15
hisses 1
home 1
hospital 2
hours 1
housemates 1
houses 1
how 1
hunter 1
husband 4
husbands 1
i 1
idea 1
if 1
illegitimate 1
image 1
in 20
inherited 1
intern 1
interview 1
into 2
introduced 1
is 27
it 15
janitor 3
jeanclaude 1
job 2
jobs 1
june 1
ka 12
killed 1
killing 1
kings 1
kinship 1
knew 2
landlord 1
laryngectomies 1
last 1
lawoze 1
leaves 2
leaving 1
let 1
lie 1
life 1
light 2
like 2
live 1
living 3
lookalike 1
lost 1
lover 1
made 1
magazine 1
main 1
make 1
makes 1
man 3
manman 1
many 1
mariselle 1
marrying 1
mass 1
matter 1
may 2
meant 1
medgar 2
member 1
men 2
michael 1
michel 1
miracles 2
monkey 1
most 2
motel 1
mother 1
motioning 1
much 2
murdered 1
murderer 3
nadine 3
narrated 1
need 1
neighbors 1
never 3
new 1
next 1
night 3
no 1
not 6
noted 1
nothing 1
now 3
number 2
ny 1
nyc 3
of 36
off 1
offers 1
on 8
one 3
only 1
openly 2
oppressed 1
or 4
order 1
other 2
own 2
painted 1
parents 2
part 1
pasts 1
patient 1
person 1
phone 1
place 1
places 1
poignant 1
pondering 1
portauprince 1
portrait 1
possible 1
potential 1
preparing 1
presence 1
president 1
presidenthe 1
previous 3
prey 1
priest 1
prison 3
question 1
quickly 1
quietly 1
radio 1
rage 1
reach 1
reader 1
real 1
reason 1
recognized 1
recounts 1
redemption 2
regime 1
regular 1
relations 2
relationship 3
religious 1
rest 1
resting 1
retelling 1
returns 2
reveals 1
rising 1
room 2
rough 1
runin 1
saint 1
sane 1
saying 1
says 1
scared 1
sculpts 1
sculpture 1
seamstress 2
secluded 1
second 1
seeing 1
seemingly 1
seems 2
sees 1
sense 1
separated 1
setting 1
settled 1
seven 3
shame 1
she 14
shed 1
short 1
shot 1
should 1
show 3
shrine 1
side 1
since 1
singer 1
sit 1
situation 1
small 1
so 2
some 1
someone 1
soon 2
soul 1
speech 1
spit 1
staring 1
start 2
statue 3
stills 1
story 11
strange 2
struggles 1
swayed 1
sympathetic 1
tails 1
takes 1
talk 1
talkers 1
talking 1
teacher 1
teaching 1
teenage 1
telephone 1
television 1
tells 1
term 1
that 5
the 76
their 5
themes 1
then 2
therapist 1
they 1
theyve 1
things 1
this 8
thought 1
thoughtful 1
three 1
through 2
to 33
together 2
tortured 1
translation 1
traveled 2
tries 1
trip 2
trying 1
two 2
typical 1
unbelievable 1
unborn 1
undecided 1
unflattering 1
uniting 1
unlisted 1
unrelated 1
us 1
very 5
victim 1
visit 1
voice 2
walk 1
was 5
watch 1
water 2
way 1
we 1
were 2
what 2
when 3
whether 1
which 1
whipped 1
who 5
whose 1
wife 4
with 9
without 1
woman 1
women 3
wood 1
wooden 1
works 2
world 1
would 3
years 2
young 1
your 1
