31009850
/m/0gg6qvv
/m/0gg6qvv
Alastair Reynolds
2012-01-19
{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel"}
2160s 1
a 6
access 1
across 1
africa 1
african 1
akinya 1
all 1
allow 1
almost 2
although 1
an 1
and 6
aquatic 1
are 2
as 2
at 1
augmented 1
augs 1
begin 1
blue 1
bohemian 1
brother 1
by 1
century 1
china 1
civilisation 1
climate 1
colonised 1
competition 1
computer 1
constant 1
corporate 1
crime 1
cryptic 1
dark 1
death 1
descrutinized 1
displays 1
earth 3
engineering 1
ensures 1
escape 1
eunice 2
extended 1
extensively 1
face 1
family 1
focuses 1
following 1
from 1
genetic 1
geoffrey 1
grandmother 1
has 2
human 1
humanity 1
humans 1
in 3
india 1
individuals 1
influential 1
information 1
interfaces 1
investigating 1
is 1
known 2
leading 1
left 1
lifespans 1
live 1
mechanism 2
members 1
messages 1
moon 1
nations 2
neural 1
new 1
now 1
of 6
omnipresent 1
on 2
online 1
operate 1
over 1
place 1
populated 1
possess 1
powerful 1
powers 1
previous 1
reality 1
realtime 1
remembered 1
repaired 1
robots 1
series 1
siblings 1
side 1
sister 1
solar 2
some 1
speech 1
story 1
sunday 1
surveillance 2
system 3
takes 1
technological 1
telepresence 1
that 2
the 14
their 1
them 1
they 1
time 1
to 2
transhumans 1
translate 1
underwater 1
ungoverned 1
unheardof 1
united 1
vastly 1
view 1
violent 1
waterbreathing 1
when 1
which 1
who 1
wishing 1
world 1
zone 1
