33230852
/m/03wdtvp
/m/03wdtvp
Kristin Cast
2007-05-01
{"/m/0kflf": "Vampire fiction", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/0134b1": "Contemporary fantasy", "/m/01qxvh": "Romance novel", "/m/01hmnh": "Fantasy", "/m/072lff": "Paranormal romance"}
a 18
abilities 1
accept 1
accidentally 1
adult 3
affinities 1
affinity 1
age 1
air 1
all 1
almost 1
also 1
always 3
an 9
and 26
angrily 1
announces 1
another 1
antivampyre 1
aphrodite 7
are 1
as 6
at 4
attempt 1
away 1
back 3
be 4
beautiful 1
become 2
becomes 1
before 2
befriends 1
being 1
best 1
between 1
bites 1
blames 1
blood 3
boarding 1
bodies 1
bring 2
bust 1
but 2
by 3
can 1
cat 1
celebration 1
change 2
cherokee 1
chosen 1
come 1
comforts 1
confrontation 1
consort 1
constantly 1
control 1
could 1
counsel 1
course 1
craving 1
create 1
creating 1
damien 2
dark 5
darkness 1
daughters 4
day 2
deserted 1
discovers 3
does 3
doesnt 1
doings 1
dont 1
dorm 1
drunk 1
during 2
each 1
earlier 1
ears 1
earth 1
elders 1
element 1
elements 1
elitist 1
embarrassed 1
ensues 1
equate 1
erik 1
erin 2
escorts 1
eventually 1
everyone 1
everything 2
evil 2
exbest 1
exboyfriend 1
existed 1
explains 1
eyes 1
faints 1
faith 1
feeds 1
fifth 1
filled 1
find 1
finds 2
fine 1
fire 1
first 1
five 1
fledgling 5
fledglings 2
flees 2
following 1
follows 1
for 5
former 1
freaks 1
frequent 1
fresh 1
friend 2
friends 2
future 3
gain 1
get 1
gives 1
go 1
goddess 2
goes 1
gone 1
good 1
grandmother 3
group 2
handsome 1
happened 1
happens 1
has 5
have 3
he 1
headmaster 1
heath 4
heaths 1
heffer 1
her 28
herself 1
him 2
his 1
history 1
home 3
honor 1
house 2
human 2
humiliate 1
hurries 1
husband 1
important 1
imprint 3
in 8
informs 1
insight 1
instead 1
into 2
intuition 1
invited 1
invites 1
is 6
it 3
join 1
kayla 2
keep 1
leader 2
leave 1
leaves 1
light 1
linda 1
link 1
lives 1
loses 1
mark 2
marked 1
meets 4
mention 1
mentor 1
message 1
met 1
month 1
mother 1
nala 1
name 1
names 1
need 1
neferet 4
never 1
new 3
newfound 1
night 4
not 3
nyx 1
of 10
on 1
one 2
only 1
opportunity 1
or 1
out 4
over 1
parting 1
passes 1
people 1
persuades 1
place 1
places 1
power 1
presence 2
presented 1
rae 3
redbird 2
reject 1
ritual 1
room 1
roommate 1
runs 1
samhain 1
scene 2
school 4
see 1
seen 1
senior 1
series 1
shaunee 2
she 18
sixteenyearold 1
snobby 1
so 3
sociology 1
some 1
something 1
son 1
sons 3
spirit 1
spirits 3
spitefully 1
status 1
stepfathersteploser 1
steps 1
stevie 3
stop 1
stumbles 1
summons 1
surname 1
sylvia 1
take 1
takes 3
taking 1
that 12
the 33
their 2
then 1
they 4
through 1
throughout 1
to 28
together 1
too 1
tracker 1
trained 1
tries 2
try 1
tulsa 1
ultrareligious 1
understand 1
until 1
unusual 2
unusually 1
up 1
upon 1
use 1
vampires 1
vampyre 10
very 2
vision 2
wakes 1
water 1
way 1
well 1
when 1
where 4
which 2
who 5
whole 1
whom 2
will 2
wise 1
with 8
witness 1
woman 1
wont 1
words 1
world 1
yet 1
you 1
zoey 24
