7764404
/m/026c86f
/m/026c86f
John Jakes


1858 1
a 6
able 1
abolitionist 1
academy 2
after 1
again 1
american 1
amputated 1
and 15
anderson 1
are 3
arm 1
army 4
as 3
at 5
away 1
back 1
badly 1
battle 1
beauregard 1
become 2
before 1
begs 1
bent 2
best 1
between 1
billy 5
brett 4
brigadier 1
brother 1
brown 1
but 2
by 2
cadet 1
can 1
carolina 3
charles 1
charleston 1
civil 2
classmate 1
close 1
command 2
companions 1
confederate 1
confronting 1
constance 2
continue 1
corps 1
courts 1
cousin 1
cruz 1
day 1
death 1
differences 1
draws 1
due 1
during 2
each 1
effect 1
elkanah 1
end 1
engineers 1
eventually 2
expulsion 1
falls 1
father 1
ferry 1
few 2
final 1
fire 1
for 2
forces 1
fort 2
frame 1
frequently 1
friends 1
friendship 2
from 5
garrison 1
general 1
george 10
given 1
goodbye 1
graduate 1
harbor 1
harper 1
hazard 1
hazards 1
he 2
her 1
him 2
his 1
home 2
hoping 1
in 10
irish 1
is 8
john 1
joins 1
later 3
leave 1
louis 1
love 1
main 2
mains 1
major 1
marries 1
marry 1
meet 2
mexicanamerican 1
mexico 1
miles 1
military 1
named 2
near 1
next 1
nights 1
north 1
of 8
off 1
officers 1
ohio 1
on 5
only 1
open 1
orry 10
other 1
part 1
pennsylvania 4
pgt 1
planning 1
plantation 1
point 3
radical 1
raiders 1
regional 1
released 1
rendezvous 1
resume 1
return 1
robert 1
sadistic 1
say 1
sent 2
setting 1
sister 1
so 1
soon 2
south 4
st 1
state 1
states 2
stationed 2
stays 1
stopped 1
strengthen 1
sumter 2
take 1
tensions 1
texas 1
the 25
their 7
then 1
they 2
time 2
to 10
tormented 1
train 2
trip 1
two 1
under 2
unharmed 1
united 2
up 2
us 1
vera 1
virginia 2
war 4
way 3
west 4
where 2
with 3
within 1
woman 1
wounded 1
years 1
young 1
younger 2
