2227100
/m/06xh9s
/m/06xh9s
Yukio Mishima
1956
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
10 2
14 2
144 1
1445 1
145 1
146 1
147 1
148 1
15 1
2 2
25 1
2nbspkm 1
30 1
3000 1
4250 1
500 1
5100 1
a 53
ability 1
about 3
academy 1
accident 2
account 1
acolyte 1
acolytes 3
adds 1
affair 1
after 3
afterwards 1
again 1
ago 1
ahead 1
alight 1
alley 1
alone 1
also 1
amazed 1
ambitionsthat 1
ambivalent 1
american 2
an 3
and 65
angry 2
anniversary 1
another 1
anything 1
are 1
arrangement 1
arrives 2
arsenic 2
arson 1
as 8
ashes 1
asks 1
assailed 1
assured 1
at 15
avoid 1
avoids 1
away 4
back 5
bales 2
be 6
bearing 1
beautiful 1
beauty 1
become 1
becomes 5
been 3
before 1
befriending 1
behind 2
being 1
belongings 2
bemused 1
betrays 1
birth 1
bitterly 1
boardinghouse 1
boards 1
boasts 1
borrowing 1
boy 4
boyfriend 1
breaks 1
breast 1
brief 1
bringing 1
buddha 2
buddhist 1
building 1
burn 1
burnt 2
but 11
buys 2
by 18
cadet 2
calls 2
can 1
candid 1
cannot 1
cape 1
car 1
cartons 2
cash 1
cattails 1
characteristically 1
child 1
childhood 2
choking 1
chosen 1
cigarette 1
cigarettes 1
claims 1
climbs 1
clubfeet 1
clubfooted 1
coast 1
come 1
comes 2
committed 1
company 1
compensation 1
compiles 1
complains 1
confess 1
confused 1
confusion 1
considering 1
consumption 1
consumptive 1
continues 1
controlleave 1
convinced 1
corners 1
countless 1
crouched 1
cup 1
curse 2
cynical 1
daimonji 1
darkness 2
day 4
days 1
deacon 1
death 4
debt 1
defeated 1
demands 1
demonstrate 1
demonstrates 1
deserter 1
destroy 1
destroyed 1
dictionary 1
did 2
die 1
dies 1
disappointed 2
discourage 1
discuss 1
discussing 1
distracted 1
disturbed 1
divinity 1
does 3
dog 1
doing 2
door 2
dosen 13
down 3
downstairs 1
drawer 1
draws 1
dream 1
drift 1
drunk 1
dumps 1
during 3
early 1
emperor 1
encloses 1
encouragement 1
end 2
enter 1
enters 1
equal 1
evening 1
evidence 1
exchange 1
expel 1
expression 1
fact 1
factory 1
failure 1
fall 1
fantasies 1
fascinated 1
father 13
feel 1
feeling 1
feels 1
feigning 1
filled 2
fills 1
final 1
finally 1
find 1
finds 3
fire 1
firealarm 1
firebombing 1
first 3
fix 1
fixture 1
flee 1
floor 1
flute 1
follow 1
follows 2
fool 1
for 15
forced 1
formal 1
found 1
fourteenth 1
friend 1
friendless 1
from 10
front 1
fukui 1
fulfilled 1
fun 1
garden 2
gate 2
gateless 1
geisha 3
getting 1
girl 6
girlfriend 4
given 1
gives 5
giving 2
glorious 2
go 1
goes 3
golden 3
ground 1
grounds 1
grown 1
guiltylooking 1
had 1
hammers 1
has 6
hatred 2
have 1
having 2
he 64
head 1
hearing 1
heart 1
height 1
helps 1
her 14
hermitage 2
hidari 1
hill 2
him 26
himin 1
himself 2
hired 1
his 36
honsh 1
hope 1
hopes 1
hostilities 1
hours 1
house 1
household 1
idea 3
ikebana 1
ill 1
illness 1
imagination 1
impotent 2
in 31
indoors 1
indulges 1
inevitably 1
inspiration 1
inspires 1
interest 1
intersection 1
interview 1
into 6
introduces 1
invites 1
irises 1
is 33
it 12
items 1
its 1
january 1
japan 1
japanese 1
july 1
june 5
just 1
kameyama 1
kasagun 1
kashiwagi 12
kenkunjinja 1
kill 1
killed 1
kills 1
kimono 1
kindly 1
kinkaku 4
kinkakuji 3
kitten 3
knife 2
known 1
knows 1
korean 1
kukkych 1
kuwai 1
kyoto 2
last 1
late 1
later 1
laughs 1
learn 1
leaves 2
left 1
let 1
letters 1
lights 3
list 1
lives 2
locked 1
loiters 1
long 2
looks 1
loses 1
lost 1
lot 1
loud 1
love 2
lover 2
maizuru 1
make 1
makes 1
making 1
mass 1
may 4
meet 1
mental 1
mentioning 1
met 1
method 1
middle 1
mikuji 1
milk 1
mind 1
minute 1
miscarriage 1
mizoguchi 28
momentarily 1
money 3
month 1
months 1
morning 2
mortuary 1
most 1
mother 2
moved 2
must 2
my 2
myshinji 1
named 1
nansen 3
nanzenji 1
nariu 2
narrator 1
naval 1
near 2
nearby 1
nearly 1
neglects 1
neighbour 1
never 1
news 2
newspaper 2
next 6
night 2
nishijin 1
no 1
noninflammable 1
north 3
northwest 2
not 5
nothing 1
november 1
now 1
obsequiously 1
obsessed 2
of 57
off 1
okitayamafudosan 1
old 1
on 18
one 3
only 1
opportunity 1
or 2
orders 1
otani 2
out 4
outbreak 1
outside 2
over 3
overcome 1
own 2
park 1
pavilion 4
people 1
per 1
philosophical 1
photo 1
photograph 1
picnic 1
places 1
placing 1
plan 1
planes 1
player 1
pleasant 1
police 1
policeman 1
pond 2
poor 2
position 1
prefecture 1
pregnant 1
present 1
presents 2
priest 1
principal 1
promises 1
pronounces 1
prostitutes 1
protagonist 1
provides 1
pushes 1
quarrel 1
quickly 1
raises 1
real 1
realises 2
recover 1
refuge 1
refused 1
region 1
relieved 1
remembers 1
remote 1
renunciation 1
repairman 1
reprimands 1
reproducing 1
resolves 1
responds 1
retrieved 1
return 2
reveal 1
reveals 1
rinzai 1
rinzairoku 1
road 2
rokuonji 1
room 1
rumours 1
running 1
runs 5
ryuhoji 1
same 1
sammon 1
sannomiya 1
saw 2
say 1
says 1
scene 2
scholarship 1
school 4
sea 1
secret 1
secretly 1
seduce 2
seem 1
seems 1
sees 1
selfassurance 1
selling 1
senbonimadegawa 1
sent 1
set 1
sets 2
shakuhachi 1
shame 1
shaved 1
she 13
shinkyogoku 1
shiraku 1
shop 1
should 2
shows 1
shreds 1
shrine 1
sight 1
sign 1
signs 1
similar 1
simple 1
sink 1
sinks 1
skill 1
slips 1
smoke 1
sneaks 1
snow 1
so 5
soldier 1
some 2
son 1
sorry 1
southeast 1
speeches 1
spends 2
spies 1
spread 1
spring 3
stammering 1
star 1
starts 3
station 1
steal 2
step 1
stomach 1
stone 1
story 5
strange 2
straw 1
stray 1
studies 1
succeed 1
suddenly 1
suffered 1
suicide 2
superior 8
surprised 1
suspect 1
tablet 1
takeisaojinja 1
takes 6
taking 2
talking 1
tangoyura 1
target 1
taught 1
tayama 1
tea 1
tears 1
telegram 1
telling 1
tells 5
temple 14
temples 1
tenju 2
tenjuan 1
thanks 1
that 21
the 142
them 4
then 1
there 2
they 4
thinks 1
this 2
those 1
three 3
through 2
throughout 2
throws 1
time 2
tires 1
to 48
tormented 1
tower 2
tragedy 1
tragic 1
train 1
trample 1
travel 1
tricked 1
tries 3
tsurukawa 6
tuition 1
tumble 1
turning 1
two 6
uiko 1
uncertainty 1
uncle 1
uneasy 1
university 3
unsuccessful 1
unusual 1
up 3
upstairs 1
urge 1
used 1
vandalises 1
vengeful 1
victorious 1
village 1
visions 3
visit 2
visited 1
visiting 2
visits 2
waiting 2
walking 1
war 4
warns 1
watches 1
week 1
when 9
where 1
which 5
while 1
who 8
will 2
window 1
winter 1
wish 1
with 15
witness 1
witnessed 1
woman 4
women 1
words 2
work 1
works 2
world 1
worsens 1
wraps 1
year 4
years 2
you 1
yura 1
zen 2
zenkai 1
