3467188
/m/09f0lm
/m/09f0lm
Roderick Thorp
1979
166 1
175 1
a 6
after 1
aided 1
al 1
and 3
angeles 1
anton 1
author 1
being 1
building 3
by 4
chased 1
corporation 1
daughter 1
detective 3
dream 1
entire 1
fights 1
film 2
follows 1
forever 2
gang 1
gennaro 1
german 1
gruber 1
guns 1
had 1
he 2
headquarters 1
his 1
idea 1
in 2
inferno 1
into 1
is 3
it 2
joe 1
klaxon 1
lapd 1
lasts 2
led 1
leland 3
los 1
man 1
men 1
named 1
nothing 2
novel 1
of 1
off 1
oil 1
one 2
outside 1
over 1
person 1
powell 1
remains 1
roderick 1
saw 1
seeing 2
sequel 2
sergeant 1
steffie 1
takes 1
terrorist 1
terrorists 1
that 1
the 11
thorp 3
through 1
to 1
tony 1
took 1
towering 1
turned 1
undetected 1
up 1
visiting 2
where 1
while 1
who 1
with 1
woke 1
works 1
year 1
