5430388
/m/0dlh_2
/m/0dlh_2
Heinrich Böll
1959
{"/m/05hgj": "Novel"}
1100 1
142 1
30 1
80th 1
a 12
abbey 2
about 1
act 1
adopts 1
afoot 1
after 2
already 1
also 1
amends 1
an 2
and 16
architect 1
architects 1
arrival 1
arrives 1
at 5
balcony 1
bar 1
battle 1
beaten 2
beautiful 1
because 1
before 1
being 1
bellboy 1
bellhop 1
billiard 1
birthday 3
both 2
brother 1
buffalo 2
built 1
but 4
by 2
cake 1
camps 1
carried 1
cars 1
cattle 1
changed 1
children 1
committed 2
conclusion 1
control 1
corrupted 1
daily 1
describes 1
despite 1
destroyed 1
devil 1
died 1
disappeared 1
discover 1
disturb 1
does 1
doing 1
down 1
end 1
entire 2
everything 1
extermination 1
fact 1
faehmel 4
family 3
father 1
first 2
for 5
forgot 1
friend 2
from 4
gathers 1
generations 1
germany 1
girlfriend 1
goes 1
going 1
grandfather 1
greatly 1
gym 1
had 6
hands 1
hanged 1
has 3
he 3
heinrich 6
her 5
him 3
his 12
home 1
horrors 1
host 1
hotel 4
hugo 2
in 10
inadaptation 1
includes 1
institution 1
intended 1
intends 1
is 11
it 2
jews 1
jochen 1
johanna 5
joseph 3
just 1
kiev 1
kilb 1
knowledge 1
learned 1
leaves 1
leonore 2
let 1
life 4
like 1
little 1
make 1
man 2
many 1
marianne 4
marienne 1
meanwhile 1
meet 2
members 1
mental 1
meticulous 1
military 1
mother 2
murder 1
named 1
nazi 3
nazis 2
nettlinger 6
not 3
now 1
of 12
office 1
old 5
on 1
once 1
one 2
only 1
opportunist 1
opposed 1
ordered 1
ordinary 1
otto 1
own 2
parade 1
party 1
past 2
patron 1
piece 1
pistol 1
policeman 2
prevented 1
prince 2
really 1
reference 1
refuses 1
refusing 1
remains 1
returned 1
robert 15
room 1
routine 1
ruled 1
same 1
sanatorium 1
save 1
schoolmates 1
schrella 5
secretary 2
see 1
sends 1
shaped 1
she 3
shoots 1
siblings 1
signal 1
sins 1
sitting 1
slices 1
society 1
some 1
something 1
son 3
state 1
story 1
strangers 1
suicide 1
take 1
taking 1
talking 1
talks 1
teacher 1
telling 1
tells 1
that 4
the 37
their 1
this 2
three 2
time 1
to 17
tried 1
tries 1
trouble 1
upsets 1
upstairs 1
use 1
visit 1
visiting 1
wants 1
war 1
was 5
watching 1
we 2
were 1
where 1
which 3
who 7
whom 1
whose 1
with 3
wits 1
wobbly 3
world 1
years 1
