508387
/m/02js5l
/m/02js5l
Thornton Wilder
1927
{"/m/02xlf": "Fiction", "/m/0l67h": "Novella", "/m/05hgj": "Novel"}
1714 1
20 1
a 27
abbess 7
about 4
across 2
actress 2
acts 1
added 1
addition 1
advance 1
affair 1
after 3
again 2
ages 1
agrees 1
all 4
allow 1
along 2
also 1
alvarado 4
an 4
and 42
archbishop 2
are 7
arranged 1
as 10
ashamed 1
ask 1
asks 2
at 15
avoids 1
away 2
back 3
background 1
banker 1
basic 1
be 2
beautiful 2
became 1
because 1
becomes 6
becoming 1
been 1
before 1
beginning 1
begs 1
behavior 1
being 1
boat 1
body 1
book 8
bore 1
bored 1
boy 1
brave 1
bravery 1
bridge 8
brother 5
brothers 1
bullfighter 1
burned 2
burning 1
businesses 1
but 9
buy 2
by 5
caf 1
came 1
camila 6
can 4
cannot 1
captain 6
cared 1
centers 1
century 1
ceremony 1
chapter 1
child 1
children 1
clara 3
close 1
closeness 1
cloth 1
cluxambuqua 1
coiffeur 1
cold 1
collapse 4
collapsed 1
collapses 3
comes 3
comfortably 1
communicate 1
companion 1
company 1
compiles 2
complaining 1
compresses 2
conducting 1
constant 1
convent 5
copy 1
council 1
country 3
course 2
cover 1
cross 1
crossing 1
curses 2
cuts 1
cuzco 1
daughter 4
day 2
days 1
de 5
dead 1
dearly 1
death 1
decided 1
decides 1
del 1
developed 2
develops 1
devoted 1
die 1
died 1
dies 1
dinner 1
discovers 1
disfigured 1
divine 1
doa 9
down 1
earlier 1
encourages 1
end 2
ends 1
engaged 1
ensuing 1
entered 1
epidemic 1
errandboy 1
esteban 10
event 1
eventually 2
ever 1
everyone 1
evidence 1
explain 1
face 1
faithfully 1
falls 1
father 1
feels 1
ferrying 1
few 1
fictional 1
fifth 1
find 1
first 2
five 2
flirts 1
focuses 2
follow 1
fondness 1
for 12
foretells 1
formulae 1
fourth 1
franciscan 1
frequently 1
friday 1
from 1
gathers 1
get 1
gets 1
girl 1
go 1
god 2
goes 5
gossip 1
grew 1
had 1
happened 1
has 7
have 1
having 3
he 20
heart 1
her 35
heresy 1
him 10
hires 1
his 13
honored 1
hopelessly 1
how 1
huge 2
hundreds 1
hurry 1
idea 1
in 19
incas 1
including 1
independence 1
indifferent 1
infants 1
infected 1
injury 1
inn 1
inquisition 1
insight 1
instead 1
instructs 1
interests 1
interrogations 1
interview 1
interviews 1
into 4
is 14
it 15
jaime 2
july 1
juniper 4
just 1
knee 1
knew 1
knows 1
la 3
lacked 1
lady 1
land 2
language 1
later 3
learns 1
leave 1
left 1
letter 4
letters 2
library 1
life 1
lima 8
literature 1
living 1
loneliness 1
lost 2
love 2
loved 1
lover 1
luis 1
madre 1
make 1
man 1
mansion 1
manuel 10
mara 12
marco 1
marquesa 1
marriage 1
married 1
masseur 1
masterpieces 1
materials 1
mathematical 1
meaning 1
measure 1
meet 1
merchant 1
metal 1
micaela 1
midnight 1
misery 1
mistress 1
moment 1
monk 1
montemayor 1
morning 1
most 2
mother 1
moved 2
name 2
neglected 1
never 1
new 1
next 1
night 2
no 3
noon 1
not 3
nothing 1
novel 2
observation 1
occurs 1
ocean 1
of 38
offers 2
older 1
on 12
one 7
only 4
or 1
order 1
out 2
over 3
own 1
pages 1
painful 1
part 2
particular 1
particularly 1
patron 1
pay 1
people 2
pepita 7
perichole 8
person 2
peru 2
piece 1
pilar 1
pilgrimage 1
pio 7
plan 1
pockmarked 1
polished 1
politics 1
poor 1
pours 1
powder 1
pregnant 1
premise 1
prepare 1
presence 1
present 2
pronounces 1
protection 1
providence 1
put 1
raised 1
ravine 1
read 1
reader 1
reads 1
realize 1
refuses 2
related 1
relationship 1
remembers 1
results 1
retains 1
returning 1
returns 1
rey 1
rich 1
room 1
rosa 3
rosas 3
rumor 1
runs 2
sail 1
san 2
santa 3
santamara 1
says 3
schools 1
scribes 1
second 1
secrecy 1
secret 1
section 1
see 3
sees 2
send 1
sends 1
service 1
sets 1
she 25
shifts 1
show 2
shrine 2
sick 1
singer 1
singingmaster 1
sits 1
six 2
smallpox 1
so 4
some 1
son 3
soon 1
spain 2
spanish 2
spiritual 1
spreads 1
square 1
staff 1
stage 2
stays 1
story 3
strained 1
strange 1
success 1
supervise 1
surgeon 1
survival 1
survives 1
swears 2
sweeps 1
table 1
take 2
takes 4
talented 1
talk 2
talks 1
taught 1
teach 1
tells 2
that 16
the 100
theater 3
their 2
them 1
there 1
they 10
this 1
those 1
though 2
three 2
through 2
throughout 1
time 1
to 47
town 2
traits 1
travel 1
traveled 1
tries 1
trying 2
turns 1
twelveyearold 1
twin 1
twins 2
two 1
ugly 1
uncle 7
under 1
understand 1
university 1
until 1
up 2
use 1
valet 1
variety 1
various 1
viceroy 6
victims 2
views 1
villegas 1
visits 1
wanting 1
wants 1
was 5
water 1
way 2
ways 1
were 2
when 13
where 1
which 2
while 1
who 5
whom 2
will 3
with 10
witnessed 1
women 1
work 3
working 1
works 1
world 3
woven 1
write 3
writes 1
writing 1
years 5
