20475905
/m/04_0cw8
/m/04_0cw8
Daniel Silva
2008
{"/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction"}
a 13
abilities 1
ability 1
about 1
accompanied 1
account 1
afoul 1
after 1
again 1
against 2
agent 2
alleged 1
allon 2
allow 1
also 1
an 6
and 35
any 1
are 1
ari 1
aristocrat 1
arkady 5
arms 4
arouses 1
arranging 1
art 2
artist 1
as 7
asks 1
assassination 2
assuage 1
astonishment 1
at 3
attacks 1
attempt 1
attention 1
avert 1
away 2
bancroft 1
battle 1
be 2
because 1
begun 1
blissful 1
boris 1
both 6
breadth 1
bulganov 2
business 2
but 2
by 2
calls 1
cannot 1
cassatt 1
cassatts 1
challenge 1
chiara 1
chic 1
chief 1
childhood 1
children 2
claims 1
close 1
collaborate 1
colleague 1
collusion 1
complicity 1
conciliatory 1
concludes 1
confirms 1
conscience 1
continued 1
continuing 1
corruption 2
country 1
countrys 1
countryside 1
cuts 1
dares 1
days 1
dealer 2
dealings 2
death 1
defecting 1
demonstrates 1
denies 1
department 1
detention 1
director 1
discover 1
dissuaded 1
documents 1
doing 1
down 1
drive 1
duplicity 1
editor 1
efforts 1
either 1
elena 12
elenas 1
encounter 1
enlists 1
entourage 1
entrust 1
entrusts 1
even 1
exclusive 1
exhaustive 1
eye 1
fears 1
fieldworker 2
filled 1
financial 2
follow 1
fondness 1
for 5
forges 1
four 1
france 1
fraud 1
free 1
freedom 2
freeze 1
from 8
frustrated 1
fsb 3
full 1
further 1
gabriel 15
gabriels 6
gathers 1
gazeta 3
get 1
government 2
governments 2
grigori 6
groups 1
grows 1
guard 1
guards 1
guess 1
harboring 1
has 2
have 1
he 4
heavyhanded 1
help 2
her 8
herself 1
him 3
himself 1
his 19
honeymoon 1
hostage 1
however 4
husband 1
husbands 1
imminent 2
implicates 1
impossible 1
in 6
indeed 1
independent 1
indicate 1
information 2
informs 1
injury 1
inspection 1
instructions 1
intelligence 3
interrogator 1
interrupts 1
investigation 1
is 4
israel 1
israelibased 1
israels 1
it 1
italy 1
ivan 7
ivans 6
journalists 1
kharkov 2
kharkovan 1
kharkovs 2
kill 1
knowledge 2
kremlin 1
later 1
latter 1
leads 1
learning 1
leaves 1
lets 1
life 1
lives 2
mary 1
medical 1
medvedev 1
meeting 2
message 2
moscow 1
moskovsky 1
most 1
murder 1
murders 1
must 3
negotiations 1
new 4
nowfamous 1
numbered 1
of 22
offers 1
office 2
officers 1
old 1
olga 5
oligarch 1
on 1
once 1
only 2
openly 1
operation 1
opportunity 1
or 1
ostrovsky 1
ostrovskys 2
other 1
over 1
overtly 1
painting 2
paintings 1
passes 1
people 1
personal 1
play 1
portends 1
potentially 1
presence 1
pretence 1
prevents 2
previous 1
proceed 1
profession 1
promise 1
proudly 1
prove 1
publish 1
purported 1
pursuing 1
quick 1
quickly 1
realizes 1
recent 2
records 1
recoveryand 1
reflection 1
represent 1
represents 1
required 1
rescue 1
restaurant 1
restorer 1
retrieve 1
return 1
returns 1
reveal 1
reveals 2
rules 1
runs 1
russia 3
russian 2
russias 2
san 1
sarah 4
save 1
saves 1
scar 1
scope 1
secret 1
secretly 1
secrets 1
secure 1
security 2
seems 1
seize 1
sensitive 1
serious 1
set 1
shamelessness 1
shamron 1
sharing 1
she 3
shelters 1
short 1
skilled 1
so 1
source 1
specialist 1
strong 1
sudden 1
sukhova 2
supposedly 1
surprised 1
surprises 1
suspicion 1
suspicions 1
takes 1
task 1
team 2
tender 1
terror 5
that 9
the 35
their 2
them 1
then 6
these 1
they 1
this 2
thousands 1
threat 2
threats 1
three 1
ties 2
time 1
to 28
top 1
trafficking 3
travels 1
trip 1
tropez 1
true 1
turn 1
twin 1
two 2
uk 1
ukraine 1
uncover 1
underhanded 1
unexpected 1
upon 2
urgent 1
us 1
vast 1
ventures 1
warehouse 1
was 2
weapons 1
wellknown 1
west 1
when 3
where 1
whereabouts 1
which 1
while 2
wife 2
with 9
within 1
work 2
worldwide 1
yet 2
