4860400
/m/0crdwd
/m/0crdwd
Melanie Rawn
1991
a 5
able 1
across 1
after 2
against 1
along 2
and 11
andry 2
are 6
armor 1
army 4
arrives 1
as 1
at 1
attacking 1
barbarians 1
battle 1
beloved 1
but 2
by 3
chadric 1
comes 1
continent 1
death 1
defend 1
defends 1
desert 3
discover 1
dorvali 1
dragons 1
elite 1
enemy 2
faced 1
families 1
fear 1
fend 1
flee 2
focusing 1
for 1
forced 2
forces 2
form 1
friends 1
from 1
goddess 1
having 1
heir 1
high 3
his 4
homeland 1
in 1
invaders 3
island 3
it 1
keep 1
kierst 1
kills 1
knows 1
kostas 1
land 1
large 1
leading 1
like 1
look 1
ludhill 1
manages 2
must 1
no 1
of 6
off 1
on 2
one 1
or 2
others 1
outsmart 1
overrun 1
pad 1
pol 2
prince 5
princedom 1
princedoms 1
protects 1
pursued 1
resistance 1
rest 1
revels 1
rohan 3
rohannon 1
rosalath 1
secure 1
sioned 1
sorcerous 1
southern 1
stay 1
stronghold 1
syr 1
terrorizes 1
the 19
their 4
they 3
this 1
those 1
to 6
touch 1
trials 1
tribulations 1
using 1
volog 1
wall 1
warlord 1
way 1
where 1
which 1
while 1
who 1
why 1
wife 1
with 4
women 1
