25195739
/m/09gkrt8
/m/09gkrt8
Lauren Belfer
1999
101 1
2 1
38 1
a 21
about 4
abuse 1
abused 1
accident 1
act 1
actions 1
admits 1
affectionate 1
after 2
against 1
alibi 1
already 1
also 1
although 1
always 1
an 7
and 21
animals 1
another 2
anything 1
apparently 2
arizona 1
as 5
ask 1
asks 3
assistant 2
asylum 2
at 3
attorney 1
attracted 1
barrett 3
bates 3
be 5
because 5
become 1
been 2
behind 1
being 1
believes 1
beloved 1
big 1
black 3
bombing 1
book 1
both 1
bribery 1
brief 1
brother 1
buffalo 2
but 6
by 6
calm 1
can 1
capturing 1
cause 1
causes 1
chain 1
character 1
chest 1
chief 2
child 1
choice 1
cites 1
city 3
claiming 1
claims 1
clash 1
cleveland 5
comforted 1
commit 1
complex 1
concludes 1
conditions 1
confronted 1
connections 1
construction 1
control 1
conversation 1
corroborated 1
could 2
couldnt 1
couple 1
court 2
courting 1
create 1
cried 1
dam 1
death 4
deaths 2
deeper 1
designed 1
determine 1
develop 1
dexter 1
dies 1
different 1
down 1
dramatic 1
dream 1
dreams 2
electricity 3
elsewhere 1
engineer 1
engineering 1
enthusiasm 1
etc 3
event 1
events 1
explains 1
exposition 2
falls 2
family 1
fan 1
fate 1
father 3
feared 1
fell 1
finally 1
find 1
first 1
fisk 1
fiske 3
fithugh 1
fitshugh 1
fitzhugh 1
flair 1
fmr 1
for 12
former 1
forms 1
found 3
francesca 1
francis 1
franklin 7
frederick 1
free 1
friends 1
from 2
fronzcyk 1
fronzyk 1
frustrated 1
full 1
gas 1
generate 1
generators 1
get 3
girl 1
girls 1
give 1
gives 1
go 1
goals 1
goat 1
god 2
godmother 1
grace 12
gradually 1
grand 1
grover 3
guys 1
had 1
halpinwho 1
happy 1
has 2
have 3
he 15
head 1
headmistress 1
help 2
helped 1
helpless 1
her 13
hero 1
heroine 1
hierarchy 1
him 3
his 6
hit 1
home 1
hospital 1
hotel 1
house 1
however 1
hugging 1
hydroelectric 1
idea 2
in 11
influence 1
influenced 1
influential 1
information 1
informs 1
inhumane 1
innocent 1
inspectors 1
inspired 1
instead 1
interact 1
interest 1
investigate 1
invitation 1
invited 1
involved 1
iroquois 1
is 15
island 1
issue 1
it 2
ive 1
jail 1
james 1
karl 3
keeps 1
killed 1
kiss 1
knew 3
knows 2
krakaeur 1
krauker 1
laborers 1
lamps 1
later 1
leads 1
leave 1
led 1
left 1
letter 1
lied 1
lies 1
life 1
lightens 1
like 5
logical 1
looks 1
lot 1
louisa 26
love 3
loves 2
luisa 1
lunch 1
lyde 1
macaulay 1
maddie 1
magazine 1
main 1
major 1
male 2
man 2
manager 2
many 1
maria 1
marriage 2
married 2
mary 1
me 1
means 1
might 1
millicent 1
misapplication 1
miss 1
mom 1
moment 1
more 4
morgan 3
morison 1
mother 2
mr 1
ms 1
much 2
murder 1
murderer 1
murders 2
name 1
narrator 1
nature 1
new 2
news 1
niagara 5
night 1
no 2
nonconcrete 1
not 1
novel 1
nude 1
of 31
offered 1
old 1
on 5
one 4
only 4
other 2
out 6
overheard 1
paintings 1
panam 1
panamerican 1
papers 1
path 1
peter 2
photographer 1
physical 1
pictured 1
place 2
planning 1
plant 4
plantation 1
plantations 1
portray 1
possibility 1
potentially 1
power 1
predominance 1
prefers 1
president 1
primitive 1
proof 1
protecting 1
protesting 1
quickly 1
radical 1
raise 1
real 2
realizes 2
receives 1
reinforces 1
relationship 1
replacement 1
replaces 1
requesting 1
returns 1
reveal 1
revealed 3
reveals 2
rich 1
riley 1
river 1
rock 1
rumsey 4
said 1
same 1
says 1
scenic 1
school 1
second 1
secret 2
seduced 1
seek 1
seems 3
sees 2
seminary 1
sent 2
series 1
set 1
sexually 1
she 22
shocked 1
shows 1
signs 1
since 2
sinclair 1
sites 1
so 3
someone 1
something 1
speak 1
speech 1
speyer 3
spirit 1
starting 1
stenson 1
still 1
stole 1
story 1
struggle 1
subject 1
such 1
supposedly 1
sure 1
susanah 3
susannah 1
suspicion 1
suspicions 1
syndicates 1
talbert 1
tale 1
that 17
the 56
their 2
them 2
then 1
there 2
they 1
think 1
this 3
thomas 1
threatens 1
threats 2
through 2
time 1
to 32
told 2
tom 12
toni 1
towards 1
treated 1
tries 2
turns 1
twirled 1
under 2
undercover 2
undesirable 1
up 1
use 1
verbal 1
very 1
visited 1
visiting 1
wanting 1
wants 3
was 12
water 1
watery 1
way 1
ways 1
were 3
west 1
what 2
when 1
where 2
whether 2
while 1
who 5
wilcox 1
with 4
woman 2
wont 1
work 1
worked 1
world 2
would 5
writer 2
york 2
