24115065
/m/07k8v_q
/m/07k8v_q
Mary Wesley
1997
{"/m/05hgj": "Novel"}
a 5
across 1
after 1
air 1
an 1
and 12
any 2
arrival 1
as 1
at 4
birth 1
blot 1
break 1
by 1
canada 2
contact 1
copplestone 5
country 2
daughter 1
decides 1
determined 1
dies 1
due 1
during 1
else 1
embarrassment 1
emigrated 1
evelyn 6
family 2
farm 3
father 1
fend 1
finds 3
flees 1
for 1
frail 1
francis 1
furniture 1
further 1
gas 1
given 1
go 1
gradually 1
grows 1
hard 1
has 3
having 1
hears 1
help 1
helps 1
her 12
herself 2
him 1
hires 1
his 1
house 2
ii 1
ill 1
illegitimate 1
in 5
independent 1
into 1
introduction 1
is 6
join 1
jonty 1
juno 10
just 1
labour 1
landgirl 1
learns 1
left 1
letter 1
life 1
london 1
love 1
lungfailure 1
makes 1
marlowe 1
memories 1
merely 1
more 1
mother 2
named 1
night 2
nowhere 1
of 9
off 2
on 1
only 1
other 1
out 2
owner 1
pair 1
part 1
past 1
people 1
pregnant 1
quiet 1
raid 1
relative 1
reluctant 1
robert 1
see 1
seventeenyearold 1
she 2
shelter 1
short 1
shortly 1
sirens 1
social 1
soon 1
sound 1
spends 1
story 1
stranger 1
surprise 1
tells 1
than 1
that 2
the 17
them 1
to 14
trust 1
twins 1
unwelcome 1
war 2
waved 1
way 1
west 2
when 2
who 3
with 3
withdrawn 1
woman 1
work 1
world 1
writing 1
wwi 1
