7873248
/m/026h2d_
/m/026h2d_
Lois Lowry

8yearold 1
a 37
ability 1
able 1
about 3
abuse 1
abusive 1
accordingly 1
accused 1
acting 1
advised 1
affectionately 1
after 1
all 1
allowed 1
allows 1
alone 1
an 2
ancient 2
and 31
anger 1
angry 1
apartment 1
are 6
arrives 1
as 7
asking 1
assigned 3
assignment 2
at 4
ate 1
back 2
bad 1
be 3
because 2
become 3
becomes 1
been 1
begin 1
begins 1
behaving 1
behavior 1
bestow 1
bestowal 2
bestowing 1
bestows 2
better 1
bit 1
book 1
boy 4
but 3
butterfly 1
by 6
called 2
calms 1
care 1
caretaker 2
cherish 1
child 1
chrysalis 1
climax 1
collect 1
collected 1
colors 1
combine 1
come 1
comforting 1
commendeded 1
complains 1
considered 1
contemptuous 1
counteract 1
creature 1
creatures 1
cries 2
curious 1
dark 1
day 1
deal 1
decide 1
decides 1
delve 1
derive 1
dilapidated 1
discover 1
discovers 2
displays 2
do 3
dog 5
dream 2
dreamed 1
dreamgiver 3
dreamgivers 5
dreams 7
duane 2
during 1
each 1
elderly 11
emotions 1
enters 1
experience 2
explaining 1
explains 2
fastidious 4
father 2
floor 1
food 2
for 5
found 1
fragments 7
friends 1
from 2
future 1
gather 3
gathering 1
gathers 1
generate 1
gentle 1
give 1
given 3
gives 1
giving 1
gladly 1
go 1
gossamer 2
great 1
grounds 1
grow 1
growing 1
had 5
happier 1
happy 2
harsh 1
has 5
have 3
having 1
he 7
heal 1
heap 2
help 1
helped 2
her 17
him 8
himself 1
his 13
hitherto 1
home 5
hope 3
horde 2
horselike 1
house 3
household 1
how 2
human 1
humans 2
husband 1
in 9
inflict 2
inflicts 1
intend 1
intent 1
into 2
introduced 1
is 18
it 1
job 1
john 13
killed 1
kindness 1
last 1
learn 1
learns 1
life 2
like 1
liking 1
listener 1
littlest 17
lived 1
living 1
lonely 1
love 1
loved 1
making 1
mature 1
meals 1
memories 1
memory 1
menacing 1
mentor 2
messy 1
mild 1
mind 1
modern 1
moment 1
more 1
most 2
mother 1
much 1
must 2
naked 1
name 2
named 2
nearly 1
new 2
next 1
night 6
nightmare 2
nightmares 3
not 5
notices 1
now 1
occupant 1
of 19
old 3
omniscient 1
on 9
one 4
only 1
ordered 1
out 3
own 1
owned 1
part 3
particular 1
past 2
permitted 1
pets 1
picks 1
pink 1
point 1
possibility 1
protests 1
proud 1
punishment 1
put 1
realizes 1
reassigned 1
receptionist 1
reflects 1
remain 1
reminding 1
reports 1
respond 1
result 1
reveals 2
run 1
sad 1
salary 1
satisfied 1
scents 1
school 2
seashell 1
seeking 1
seen 1
she 18
sinisteed 2
sinisteeds 2
sleep 1
small 1
sneak 1
so 3
sometimes 1
son 5
soon 1
sounds 1
speaks 1
stampede 1
stealthily 1
story 4
strapping 5
strengthen 2
strengthening 1
student 1
subcolony 1
subtlety 1
such 1
surrounding 1
take 1
telephone 1
tell 1
telling 1
tells 2
tender 1
that 17
the 46
their 1
them 1
then 2
there 1
they 4
thin 12
this 1
through 2
to 31
toby 2
together 1
told 1
touch 3
touching 2
train 1
transformed 1
troubles 1
two 1
underside 1
unhappy 1
up 1
urinate 1
victim 1
view 1
was 2
way 1
when 1
whereupon 1
which 5
while 1
who 5
whom 1
will 2
wishes 1
with 6
woman 13
words 1
work 3
working 1
young 4
