1933393
/m/0674wk
/m/0674wk
Robert Silverberg
1972
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 13
ability 3
acid 1
adolescent 1
adult 1
after 1
all 1
allowing 1
also 2
an 4
and 5
any 1
as 4
at 2
because 1
becomes 1
beginning 1
begins 1
behalf 1
better 1
book 1
born 1
bravura 1
by 1
can 1
cant 1
causes 1
character 1
city 1
college 1
contains 1
continually 1
convenience 1
couple 1
david 5
dependent 1
discovers 1
distrusted 1
during 2
earns 1
egg 1
elements 1
enters 1
essays 1
estranged 1
experience 1
farm 1
fellow 1
fish 1
for 2
gift 1
girlfriend 2
good 1
greater 1
grip 1
grown 1
has 2
he 6
hen 1
her 1
him 3
his 10
however 1
in 4
interaction 1
interesting 1
is 2
it 1
kitty 1
laying 1
living 2
long 2
lose 1
main 1
maintain 1
man 1
meets 1
memorable 1
midst 1
mind 1
minds 3
moment 1
named 1
new 1
not 1
novel 4
number 1
obsession 1
of 7
on 3
one 1
only 1
or 2
own 1
passionate 1
plagiarize 1
power 3
progresses 1
proving 1
rather 1
read 2
reading 1
reality 1
relationship 1
reports 1
section 1
selig 5
sequence 1
sex 1
since 1
sister 1
so 1
sometimes 1
sporadically 1
squanders 1
strained 1
stream 1
struggles 1
students 1
such 1
swimming 1
telepath 1
telepathic 2
than 1
that 3
the 10
their 1
there 1
to 5
trip 1
undistinguished 1
use 1
using 1
variously 1
vicariously 1
visit 1
was 1
weaker 1
where 1
which 2
who 1
with 4
woman 1
working 1
york 1
young 2
younger 1
