20217955
/m/04ydk1b
/m/04ydk1b
Robert Silverberg

a 2
alien 2
an 1
and 2
as 2
become 1
been 1
brings 1
but 1
by 2
cities 1
city 1
conquered 1
covered 1
crises 1
critically 1
dangerous 1
disgusted 1
dovirr 2
earth 1
floating 1
future 1
gets 1
has 1
he 1
his 3
in 1
is 1
learns 1
life 2
longs 1
new 1
of 6
on 1
one 1
power 1
powerful 1
protectors 1
race 2
real 1
return 1
roam 1
sea 2
sealords 1
servility 1
significance 1
single 1
sometimes 1
stargan 1
terrible 1
the 10
thousand 1
to 2
unexpected 1
vythain 1
who 2
wish 1
with 1
years 1
