17432177
/m/0464htt
/m/0464htt
Edward Bellamy
1897
{"/m/014dfn": "Speculative fiction", "/m/0c082": "Utopian and dystopian fiction"}
1th 2
2000 2
a 11
about 1
account 1
achieved 1
addition 1
admired 1
after 1
air 1
all 1
almost 1
also 2
amazed 1
america 1
an 1
and 14
annual 1
antiquities 1
are 7
arrived 1
as 6
at 2
back 1
backward 1
bank 1
be 3
been 2
before 1
blaze 1
book 1
burned 1
but 4
by 2
called 1
can 1
card 1
cars 2
century 2
characters 2
choosing 1
citizens 1
citizenship 1
claims 1
clothing 1
coins 1
comes 1
communication 1
compete 1
concerning 1
concludes 1
conclusion 1
credit 1
daughter 1
device 2
dirty 1
dishes 1
do 1
doctor 1
dr 2
draw 1
dressed 2
eating 1
economic 1
edith 5
electroscope 1
employment 1
events 1
everyone 3
except 1
exchange 1
expense 1
factory 1
first 1
for 1
former 1
free 1
from 4
general 1
go 1
goes 2
gold 1
great 1
handwriting 1
has 3
have 1
he 6
her 1
herself 1
his 7
house 2
how 2
idyllic 1
immediately 2
in 13
interest 1
into 1
is 12
it 1
jewelry 1
jewels 1
julian 5
kept 1
labor 2
language 1
learns 4
leave 1
lectures 1
leete 3
lives 1
long 1
longer 1
longobsolete 1
looked 1
looking 1
made 2
main 1
manager 1
many 1
meat 1
men 1
modern 1
more 1
mortgages 1
most 1
mostly 1
mother 1
motor 1
museums 1
native 1
new 2
nightmare 1
no 2
normally 1
not 6
novel 1
now 4
obtain 1
of 15
on 4
one 1
only 1
opens 1
or 1
other 1
otherwise 1
out 1
outside 1
own 1
ownership 1
pants 1
paper 2
papers 2
people 1
period 1
phonograph 1
prettiness 1
private 1
rather 1
receive 1
recognized 1
records 1
recycled 1
reminder 2
replaced 2
required 1
return 1
revulsion 1
runs 1
safe 2
same 2
second 1
securities 1
see 1
seen 1
sees 1
sensibilities 1
series 1
shocked 2
shoes 1
simplified 1
since 3
site 1
skirts 1
small 1
so 1
speaks 1
state 1
stipend 1
stock 1
story 1
strengthened 1
substance 1
such 1
suit 1
sympathetic 1
takes 1
televisionlike 1
tells 1
tenement 1
that 4
the 30
their 2
them 4
there 1
they 1
things 2
thought 1
three 1
to 12
tongue 1
tour 1
trade 1
trades 1
transition 1
two 1
uninterrupted 1
universal 1
unknown 1
up 1
upon 1
used 2
variations 1
varies 1
vegetarian 1
very 1
view 1
virtually 1
was 1
wear 1
wearing 1
were 1
west 4
when 2
which 2
who 1
widely 1
will 1
with 3
woman 2
women 1
world 2
worthless 3
would 1
year 3
york 1
