608788
/m/02w2pl
/m/02w2pl
James Luceno

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 6
across 1
activated 2
aftermath 1
against 1
agree 1
alike 1
all 2
allied 1
allies 1
already 1
also 1
ambassador 1
ambitious 1
an 1
anakin 2
and 16
appear 1
appease 1
are 5
arm 1
around 1
as 4
at 1
backs 1
battle 1
be 1
betray 1
betrayal 1
bids 1
bothawui 2
but 3
can 1
centerpoint 3
cetnerpoint 1
child 1
climax 1
combined 1
come 1
considered 1
consortium 4
convenient 1
copilot 1
corellia 2
counter 1
cousin 1
decimates 1
defense 1
defenseless 1
despite 1
destroy 1
displaced 1
disturbance 1
djo 2
dna 1
doublecrossing 1
down 1
droids 2
droma 4
due 1
dupe 1
duro 1
earlier 1
either 1
empire 1
even 1
eventually 2
family 3
felt 1
fight 1
fire 1
first 2
focuses 2
foil 1
fondor 4
for 4
force 1
forces 3
former 2
fortified 1
friend 1
from 1
fully 1
galaxy 2
government 1
han 3
hapes 4
has 1
have 1
haven 1
he 1
heavily 1
her 2
his 4
however 2
husband 1
hutt 1
hutts 3
in 6
including 1
influential 1
intentionally 1
intertwine 1
into 1
invasion 2
invasions 1
is 6
isnt 1
isolder 1
it 4
its 2
itself 1
join 1
know 1
latter 3
leia 1
lives 1
lost 1
meanwhile 1
military 1
miscarries 1
misleading 1
more 1
mother 1
nearly 1
nevertheless 1
new 6
next 4
novel 1
now 1
of 14
on 1
one 1
only 1
openly 1
or 1
order 3
organa 1
other 1
out 1
parties 1
plan 1
planet 3
planning 1
plans 1
prince 1
providing 1
queen 1
refugees 1
refuses 1
relentless 1
reluctance 1
republic 5
result 2
reunites 1
right 1
ruan 1
safe 1
salsolo 1
secret 1
secretly 1
seeking 1
servant 1
set 1
several 1
she 1
shipyards 1
shut 1
side 2
since 1
solo 4
station 3
stories 1
story 1
subtly 1
suddenly 1
supposed 2
surviving 1
system 1
target 3
targets 1
tells 1
tenenial 2
thanks 1
that 1
the 50
their 3
they 2
this 2
though 2
thrackan 1
through 2
throughout 1
to 15
tragedy 1
transported 1
truth 1
two 1
twothirds 1
ultimately 1
use 1
uses 1
victory 1
vong 12
war 2
wartorn 1
weapon 1
what 1
which 1
while 1
with 3
within 1
world 1
years 1
yuuzhan 5
