11178422
/m/02r2q48
/m/02r2q48
Ruth Rendell
2007
500 1
a 9
about 1
alarming 1
although 1
an 1
and 5
another 1
are 2
as 1
at 1
away 1
body 2
burden 1
burial 1
buried 1
can 1
cause 1
cellar 1
chief 1
children 1
clue 1
computer 1
connected 1
corpse 1
cottage 1
cotton 1
covers 1
crack 1
day 1
dead 1
death 1
detection 1
disappear 1
discover 1
disused 1
dog 1
down 1
every 1
for 2
force 1
found 1
from 1
going 1
hand 1
hands 1
has 1
have 1
he 1
his 2
human 1
identify 1
in 4
informed 1
inspector 1
investigating 1
is 5
it 1
job 1
kingsmarkham 1
knows 1
lain 1
later 1
less 1
like 1
list 1
long 1
man 2
men 1
missing 1
mortem 1
murders 1
nationwide 1
not 1
of 7
officers 1
on 1
one 1
only 2
or 1
other 1
period 1
persons 1
police 2
post 1
precise 1
purple 1
rate 1
relatively 1
responsible 1
reveal 1
ribs 1
savoury 1
searching 1
short 1
shroud 1
site 1
skills 1
so 2
something 2
stores 1
ten 1
tested 1
the 14
then 1
time 1
to 5
track 1
truffles 1
twenty 1
unearth 1
utmost 1
wexford 3
whether 1
whoever 1
women 1
wood 1
woodland 1
wrapped 1
yards 1
years 1
