19631573
/m/05_5y4m
/m/05_5y4m
Ridley Pearson
2008-08-26
1 1
4 1
a 41
abandoned 1
abilities 1
about 4
access 1
according 1
actress 1
actual 1
adopted 1
advantage 1
after 4
against 1
all 5
alone 1
along 1
also 4
am 1
amanda 22
an 8
and 72
animal 9
animals 1
animatronic 1
any 1
anywhere 2
apartment 2
are 13
area 2
arent 1
ariel 1
army 1
around 2
as 13
asking 1
asleep 3
at 14
attacked 1
attacks 2
attempts 1
attraction 2
await 1
away 6
back 4
backstage 1
badges 1
balloon 1
bars 1
bat 6
bathostage 1
be 7
beach 1
because 2
become 1
been 1
before 5
begins 3
begun 1
being 5
believes 2
bike 1
birds 1
blizzard 1
blow 1
book 6
both 2
bowling 1
boys 3
breaks 1
broomstick 2
but 5
by 17
c 1
called 1
camera 1
cameras 3
can 3
captain 1
car 1
caribbean 1
cast 3
castle 6
catches 1
cause 2
change 3
changed 1
character 6
characters 1
charlene 6
chased 2
chases 1
chat 1
check 1
cheek 1
chernabog 4
chest 1
church 2
clear 1
climactic 1
clinic 1
clone 1
closed 2
clothing 1
clue 4
coast 1
cold 1
comas 1
communication 1
confronted 1
confused 1
conjures 1
conservation 1
contain 1
continues 1
control 1
controlled 1
convervation 1
costumed 2
counter 1
covered 1
creature 1
creatures 1
crosses 1
crossing 1
crowd 2
dan 2
dapper 2
dawn 2
day 2
daylight 1
decide 3
deduce 1
demands 1
desperately 1
destroy 1
devine 2
dgamer 2
dhi 6
dhis 5
diary 2
died 1
different 1
disappearance 1
disappeared 1
disappears 1
discover 3
discovers 1
disguised 1
disney 3
do 1
doesnt 1
down 3
dragon 1
dragontype 1
drawings 1
dreams 2
dressing 1
drew 1
ds 2
due 2
each 2
earlier 1
earth 1
eaten 1
empty 3
enclosure 5
end 2
enraged 1
enters 1
equally 1
escape 2
escaping 1
escher 2
even 1
events 1
eventually 2
everest 1
everyone 1
expedition 1
experience 1
fact 3
fail 1
failed 1
fairlies 1
fairly 1
fake 1
fall 2
falls 1
fantasia 1
favorite 1
feeding 1
filled 1
find 5
finn 41
first 3
flies 2
float 2
floats 1
fly 1
following 5
follows 1
for 3
form 1
found 4
free 2
friend 1
friends 1
from 11
fulfills 1
fuss 1
future 1
get 4
girls 1
give 1
given 1
giving 1
go 7
goes 2
going 3
gone 3
google 1
gray 1
green 1
grew 1
grotto 1
growing 1
guesses 1
guests 2
had 3
happened 2
has 8
have 7
he 10
heads 1
help 1
her 14
hid 1
hide 2
him 11
his 10
hollywood 2
hologram 1
hook 1
host 1
hotel 1
hour 1
house 3
how 1
however 5
human 1
hurt 1
ice 1
id 1
if 2
im 1
imagineer 1
imaging 1
immediately 1
in 38
inside 1
interactive 1
into 9
ipod 2
is 31
isnt 1
it 13
its 1
jailcell 1
jess 1
jessica 1
jez 16
jezjess 2
jungle 1
just 1
keep 2
keepers 6
kidnapped 1
kids 4
kill 1
kingdom 15
kingdomit 1
knocks 1
know 1
knows 1
ladn 1
large 1
late 1
later 3
leaf 1
learn 1
leverage 1
life 2
lightning 3
likely 1
listens 1
literally 1
little 2
live 1
local 1
long 1
loves 1
magic 2
make 2
maleficent 13
managed 1
manages 1
matter 1
maybeck 6
means 2
meanwhile 2
meet 6
member 2
members 1
mentioned 1
mermaid 2
messedup 1
mickey 1
might 1
missing 1
mom 1
monkey 3
monkeylike 1
monkeys 1
months 1
more 2
morning 2
most 1
mountain 1
moved 1
much 1
music 1
must 5
mysterious 1
mystery 1
name 2
neardeath 1
nearly 1
never 1
newspaper 1
night 2
nights 1
nintendo 1
not 3
notably 1
notice 2
notices 4
now 1
of 19
off 1
offers 1
old 2
on 15
once 2
oncoming 1
one 2
online 1
only 3
open 2
opened 1
opening 1
or 3
orders 1
original 1
orphanage 1
other 4
others 2
out 9
over 5
overtakers 8
page 2
pair 1
panda 1
parade 1
parents 1
park 9
parks 1
permanent 1
person 1
philby 7
philharmagic 1
picture 1
pillowcase 1
pin 1
pirates 1
place 2
played 1
playing 2
point 1
posing 1
powerful 1
powers 3
private 1
probably 1
promises 1
pushed 1
put 4
puts 2
puzzled 1
quickly 1
quill 1
radios 1
ran 1
ravensymon 1
real 3
realizes 1
realizing 1
really 1
receives 1
regain 1
release 1
releases 1
remarks 1
reportedly 1
rescue 1
rest 1
retreat 1
revealed 1
ride 2
riding 1
rig 1
rob 2
room 2
rope 2
running 1
safe 1
same 3
savanna 1
saves 1
scale 1
scare 1
sea 2
second 1
security 2
seeing 1
seems 1
sees 1
sent 1
server 2
servers 1
set 1
sets 1
shares 1
she 17
shock 1
show 4
shown 1
signs 1
similar 1
since 1
sister 5
sisters 1
six 1
size 1
skate 1
sleeping 1
slows 1
sneaks 2
so 1
something 3
somewhere 1
song 5
special 1
spell 1
spy 1
stairs 1
stalking 1
stand 1
state 1
station 3
sticker 1
still 2
stilts 1
stitch 1
stonecutter 1
stop 2
stops 1
stories 1
storm 1
story 1
struck 2
studios 2
study 1
stump 2
sudden 1
suddenly 1
supposed 1
suspiciously 1
systems 1
taken 2
takes 2
talked 1
talks 1
tell 1
tells 9
than 1
that 22
the 136
theater 1
their 4
them 4
themed 1
there 3
therefore 1
they 15
thing 1
thinking 1
this 10
thousands 1
thunderstorm 1
tiger 1
tigers 1
time 1
tinkerbell 2
to 70
together 1
tomorrowland 1
too 1
trapped 1
treasure 1
trick 1
tried 1
tries 1
truck 1
trying 4
type 1
under 4
unseen 1
up 8
us 1
use 1
username 1
uses 3
using 4
vetrinary 1
vine 1
vmk 3
voyage 1
walking 1
wall 1
want 1
warehouse 1
warn 2
warns 1
was 5
watch 2
watching 2
wayne 10
we 1
webcam 1
website 1
went 1
were 1
what 3
when 3
where 2
which 2
while 3
who 11
why 1
will 3
willa 9
window 1
winning 1
wishes 1
with 10
words 1
written 2
yeti 1
zebras 1
