8957150
/m/027r5h2
/m/027r5h2
Jonathan Littell
2006-09-13
{"/m/02p0szs": "Historical fiction", "/m/05hgj": "Novel"}
141 1
142 1
143 1
1st 1
a 29
able 1
about 3
accept 1
accepts 1
action 1
actions 1
active 1
adolf 3
affection 1
after 4
again 3
aimlessly 1
air 2
albert 1
all 2
allemande 1
allow 1
along 1
also 1
although 1
am 3
an 5
and 33
antibes 1
anybody 1
apparently 1
are 6
arranged 1
as 6
at 2
atrocities 1
attempt 1
aue 13
auschwitz 3
autobiography 1
autoerotic 1
awarded 1
babi 2
bach 1
back 2
bad 1
barely 1
baroque 1
battle 3
be 2
become 1
been 1
before 2
begin 1
beginning 1
begins 1
behind 1
being 1
belzec 2
benefit 1
berlin 9
between 2
bites 1
blood 1
bolshevik 1
bolsheviks 1
book 6
both 1
bouts 1
break 1
breakdown 1
brotherinlaw 1
brutally 1
budapest 1
bureaucrats 1
business 1
but 4
by 10
calls 1
camps 4
case 1
caucasus 1
caught 1
ceremony 1
chaos 2
chapter 1
chapters 1
children 1
class 1
close 1
closes 1
clutches 1
colleagues 1
combatant 1
come 2
commissar 1
concentration 2
concerned 1
conditions 1
conscripted 1
continues 1
convalescence 1
convalescing 1
courante 1
court 1
crime 1
crimea 1
cross 1
crucial 1
daily 1
dance 2
days 2
death 1
decades 1
decided 1
decides 1
deciding 1
decorated 1
decoration 1
deep 1
defeat 1
described 1
describes 2
describing 1
designated 1
detail 1
direct 1
director 1
discover 2
discussion 1
divided 1
do 1
doggedly 1
drawing 1
during 5
each 3
eichmann 2
einsatzgruppe 1
einsatzgruppen 1
empty 1
en 1
encounter 1
encounters 1
end 3
ended 1
enemy 1
engages 1
escape 4
escaping 1
evacuated 1
even 1
everyone 1
excels 1
execute 1
experience 1
experiences 1
explains 1
explicitly 1
extermination 2
faced 1
fact 1
factories 1
factory 1
family 1
famous 1
fantasy 1
february 1
federal 1
feels 1
fhrerbunker 1
fictional 1
final 2
find 1
flees 1
follow 1
following 1
for 16
forces 2
former 1
france 4
french 2
frenchman 1
friend 2
from 5
front 2
fueled 1
furies 1
german 1
germany 2
get 1
gigue 1
given 1
glimpse 1
good 1
grandchildren 1
h 1
has 8
have 1
he 36
head 1
headed 1
heavily 1
heinrich 2
heroic 1
hide 1
high 1
him 8
himmler 4
himself 3
hints 1
his 23
hitler 4
homosexual 1
hostile 1
hound 1
house 3
how 1
however 1
hungarian 1
i 7
ideas 1
identity 1
ie 2
if 1
ii 1
images 1
impersonate 1
implement 1
implentation 1
improve 2
in 35
incestuous 1
including 1
increasingly 1
indicate 2
indifferent 1
inexplicably 1
influenced 1
insists 1
intellectual 1
interior 1
into 1
introduced 1
introduction 2
investigating 1
iron 1
is 25
it 4
italianoccupied 1
jews 3
just 2
justify 1
kiev 1
kill 1
killed 2
kills 1
kindly 1
kinds 1
know 1
knowing 1
kripo 1
laborer 1
laborers 1
lace 1
laid 1
last 4
later 2
leads 1
learn 1
leave 2
leaves 1
life 3
like 5
line 1
lines 2
littell 1
live 1
living 1
love 1
made 1
make 2
making 1
man 2
managed 1
managerial 2
manages 3
many 2
massacre 2
massacres 4
max 4
maximilien 1
me 1
meets 3
member 3
men 2
mental 1
menuet 1
midst 1
ministry 1
miraculously 1
more 1
most 1
mother 3
multilingualism 1
murdered 1
murders 1
named 1
narrative 1
narrator 2
nazi 4
nazis 1
new 1
no 1
nose 1
not 2
notifying 1
observer 2
of 41
officer 2
officers 2
on 3
once 1
one 4
ones 1
only 2
open 1
order 1
organizing 1
orgy 1
others 1
out 2
own 1
papers 1
part 2
participant 1
participates 1
particularly 2
period 2
plays 1
police 3
policeman 2
policemen 1
political 1
pomerania 1
possible 1
pow 1
preparations 1
prepare 1
preparing 1
present 1
prisoners 1
production 1
productivity 1
pursuers 1
questions 1
rank 1
rather 1
reader 3
real 1
regularly 1
reich 2
repeatedly 1
rescue 1
responsibility 1
returning 1
returns 2
reviewer 1
rhythm 1
role 3
rondeaux 1
rudolf 1
russian 1
russians 1
same 1
sarabande 1
saying 1
seems 1
selected 1
sent 1
sequence 1
seriously 1
seven 1
several 1
shelled 1
sick 2
similarities 1
sister 3
slave 1
sleep 1
so 1
soldier 1
solution 2
some 1
soviet 2
speer 1
spends 1
squads 1
ss 5
stalingrad 4
stand 1
starts 1
starvation 1
statement 1
steals 1
stepfather 3
still 1
storm 1
story 2
streets 1
struggles 1
subway 1
successfully 1
suffers 1
suite 1
superior 1
support 1
sure 1
surrender 1
survive 1
survives 1
surviving 1
suspicions 1
takes 1
taking 1
tell 1
tells 1
than 2
that 8
the 96
their 6
them 1
then 1
there 1
they 1
theyre 1
third 2
this 2
thomas 4
those 3
though 3
through 3
throughout 1
thrown 1
thus 1
time 2
to 41
toccata 1
took 1
top 1
torment 1
trail 1
transferred 2
transporting 1
travels 2
trying 2
tugofwar 1
tunnels 2
twin 2
two 2
ubahn 1
ukraine 2
uniform 1
unit 1
unsaid 1
unscathed 1
unwilling 1
up 2
veritable 1
views 1
violence 1
visit 3
visits 2
vomiting 1
wanders 1
war 4
wartorn 1
was 2
way 1
we 3
were 1
what 1
when 4
where 1
which 3
while 3
who 6
wife 1
will 1
with 7
without 1
witnesses 1
witnessing 1
words 1
work 1
worker 1
world 1
wounded 1
wrath 1
write 1
yar 2
yet 2
you 3
zoo 1
