12762751
/m/02x3rpw
/m/02x3rpw
Derek Raymond
1990
86yearold 1
a 4
accrue 1
against 1
aids 1
an 1
and 3
as 3
at 1
ate 1
autopsy 1
away 1
axed 1
bits 1
bizarre 1
blows 1
but 1
by 1
club 1
compound 1
contracted 1
corpse 1
death 1
detective 1
determine 1
discovers 1
dora 1
dying 1
ejaculated 1
end 1
even 1
exploitation 1
factory 1
felix 1
flesh 1
former 1
fourth 1
from 1
had 2
he 3
head 2
her 4
hiv 1
hostess 1
how 1
in 2
inhuman 1
inquiries 1
into 1
investigates 1
is 3
killer 1
links 1
mile 1
more 1
murder 1
murderer 1
neighbour 1
night 1
nightclub 1
novel 1
obsesses 1
of 5
off 1
on 1
opens 1
parallel 2
partowner 1
pathologist 1
photo 1
pieces 1
prostitute 1
puzzle 1
results 1
reveal 1
revulsion 1
roatta 2
same 1
seedy 1
series 1
she 1
shotgun 1
smashes 1
suarez 3
suarezs 1
supplied 1
suspected 1
than 1
that 1
the 16
then 2
they 1
thigh 1
to 2
top 1
unable 1
vile 1
was 1
west 1
whose 1
widow 1
with 1
woman 1
young 2
