26121428
/m/0b6hmrt
/m/0b6hmrt
Michael Connelly
2010-10-05
12yearold 1
186 1
a 21
abduction 1
accepting 1
accounted 1
activities 1
addict 1
additional 1
admits 1
after 2
against 2
agrees 1
allow 1
alter 1
and 16
angeles 1
anticipating 1
are 1
area 1
as 8
at 4
available 1
bail 1
bargain 1
be 1
because 2
become 1
becomes 1
been 4
before 1
behalf 1
blowing 1
body 1
bosch 8
both 1
break 1
but 5
by 3
came 1
campaign 1
car 1
case 3
causes 1
choose 1
chooses 1
city 1
clear 1
clever 1
client 1
clive 1
compensation 1
concerned 1
condition 1
convicted 1
coprosecutor 1
counsel 1
courtroom 1
cover 1
crucial 1
current 1
daughters 1
day 1
death 2
defense 5
destroying 1
develop 1
disappeared 1
discarded 1
discovered 2
dna 2
dress 2
driver 1
drug 2
dumpster 1
during 1
earnings 1
eddie 1
effectively 1
elder 1
ends 1
enter 1
entered 1
evidence 3
exwife 1
falsely 1
family 1
favour 1
fear 1
few 1
finds 1
focus 1
focuses 1
followed 1
for 5
former 1
found 1
from 6
frustrated 1
fully 1
garden 2
girls 1
given 1
gleason 2
granted 1
gun 1
had 4
hair 1
halfbrother 1
haller 4
harry 2
has 5
have 1
he 4
her 7
hers 1
hideout 1
hiding 1
him 2
his 13
history 2
hope 1
host 1
hours 1
house 1
however 1
identified 1
ignorant 1
in 13
includes 1
increasingly 1
infirmity 1
instead 1
investigate 1
investigator 1
is 9
it 1
jason 1
jessup 12
jury 1
kept 1
kill 1
killed 1
killer 5
landy 2
lapd 1
large 1
largely 1
lawyer 1
learn 1
leaves 1
legal 3
lies 1
living 1
locating 1
longer 1
los 1
lover 1
lunch 1
maggie 1
main 1
man 1
mcpherson 1
media 1
melissa 7
mickey 1
missing 1
moment 1
monica 1
moral 1
motivation 1
mountain 1
mounts 1
mulholland 1
murder 2
new 1
night 1
no 1
not 1
now 2
obtaining 1
occasion 1
of 19
off 1
offer 1
offices 1
old 1
on 6
one 2
only 1
or 1
original 1
out 1
outside 1
own 2
parks 1
payout 1
permitted 1
persuades 1
pier 1
plea 1
police 4
policeman 1
presenting 1
presumably 1
procedures 1
prosecution 4
prostitute 2
prostitution 1
provide 1
questions 1
raping 1
read 1
real 1
rehabilitated 1
remained 1
reported 1
require 1
response 1
rests 1
result 2
retrial 1
return 1
reyes 1
role 2
roman 4
royce 3
santa 1
sarah 6
search 1
seat 1
seen 1
semen 2
serial 1
she 3
showed 1
since 1
sister 3
snatched 1
sonia 1
soon 1
stains 2
state 1
stepfather 3
strands 1
subsequently 1
support 1
surround 1
surveillance 1
tailed 1
task 1
team 4
teenage 1
testify 1
testimony 5
that 12
the 46
their 2
theory 1
though 1
to 11
traces 1
trails 1
trial 1
truck 2
two 1
unable 1
unanswered 1
under 1
undermine 1
undertake 1
unknown 1
use 1
various 1
victim 2
visiting 1
was 7
ways 1
wearing 2
where 1
which 2
while 1
who 3
will 1
with 2
witness 1
witnessed 1
years 1
