4129056
/m/0bkngm
/m/0bkngm
Karen Traviss
2005-10
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 13
abandon 1
aboard 1
about 1
accept 1
acceptable 1
accommodating 1
accomplish 1
actaeon 1
ade 7
admit 1
advise 2
affects 1
agrees 1
alive 2
all 1
allying 1
along 1
already 1
also 5
an 1
and 60
animals 1
another 2
appears 1
aras 19
are 7
arrives 1
as 12
astonishment 1
at 3
avail 1
back 1
balancing 1
bank 2
battling 1
be 6
because 1
becoming 2
been 2
before 2
begins 1
bennett 5
best 2
bezerej 4
bezeri 10
blame 1
blast 1
body 4
both 3
bound 1
brother 1
but 9
by 4
called 3
can 2
capture 1
care 2
career 1
case 1
cause 1
changes 1
changing 1
christopher 1
city 1
cleaning 1
cleansingand 1
clear 1
cnaatat 5
cobaltsalted 1
colony 2
come 3
coming 2
community 2
completely 1
conflicting 1
conscience 1
constantine 1
contemplating 1
control 2
coping 1
create 1
creating 1
crew 2
damage 2
death 2
decided 1
decides 3
decisions 1
delivery 1
demanded 1
depths 2
desire 1
destroy 1
destroyed 1
destroyer 1
destruction 4
devastating 1
did 2
die 1
different 1
discover 2
discovered 1
disgorges 1
dna 1
do 5
does 2
doing 1
dormant 1
duty 2
earth 5
eddie 4
effects 2
emaciated 1
end 1
enough 1
entail 1
environmental 2
eqbas 6
eventually 2
everyone 1
family 1
fears 1
feelings 2
feels 4
fights 1
filling 1
finally 1
finding 1
finds 3
first 1
floating 1
fnar 3
for 11
force 2
form 1
found 1
frankland 3
friends 1
friendship 1
from 9
frozen 1
garrod 1
gene 2
genes 1
genetics 1
genomes 1
gets 1
getting 2
given 1
go 2
goingson 1
government 2
growing 1
habitat 2
had 1
happiness 1
happy 2
harder 1
has 10
have 5
having 1
he 17
health 1
heart 1
heightens 1
held 1
help 1
her 13
him 5
himself 1
his 11
homeworld 1
honor 1
host 2
house 1
human 1
if 1
immediately 1
in 13
include 1
increasingly 1
inescapably 1
infected 1
infects 1
information 1
instance 1
intent 1
interacting 1
interested 1
into 1
involved 4
is 20
isan 1
isenj 4
it 6
its 5
itself 2
journeys 1
jungle 1
just 1
kept 1
knowing 1
knows 3
lands 1
lies 1
life 1
like 2
likes 1
lindsay 1
lindsey 2
list 1
live 3
longer 1
lost 1
loyalties 1
make 3
makes 1
males 2
marancas 1
marines 2
massive 1
mean 1
meanwhile 1
memory 1
men 1
michallat 1
minister 2
miracles 1
mjat 1
mohan 2
months 1
more 4
moving 1
mummy 1
must 1
name 1
named 1
need 1
negotiate 1
neville 4
nevyan 2
no 3
not 8
nothing 1
now 4
nuclear 1
nurse 1
occupants 1
of 33
off 1
on 8
once 1
one 2
only 4
oppose 1
or 1
other 1
out 3
over 3
own 1
pain 1
part 2
patrol 1
peacekeepers 1
people 2
performing 1
plan 1
planet 1
plants 1
point 1
politics 2
polyandric 2
polyandry 1
population 2
possible 1
possibly 1
potential 1
power 1
practice 1
prefer 1
prepare 1
presents 1
preserve 1
protect 1
provides 1
punished 1
ramifications 1
rayat 5
real 1
realization 1
rearranges 1
reasons 1
rebuild 1
recognizes 1
reconnoiter 1
record 1
recover 3
redeem 1
refused 1
relationship 2
repair 1
reporter 1
responsible 3
rest 2
restore 1
return 1
reveal 1
right 1
role 1
roles 1
royal 2
sacrifices 1
sake 1
sample 1
says 1
scouts 1
second 1
secretly 1
see 3
seem 1
seems 3
self 1
send 1
separate 1
separated 1
serve 1
set 1
shan 15
shapakti 1
shared 1
shares 1
she 6
ship 5
ships 1
shuttle 1
smaller 1
so 4
sobering 1
solution 1
some 1
somehow 1
space 1
spite 1
split 1
started 1
station 2
stay 2
still 2
stop 1
stories 1
strong 1
stronger 2
surprise 1
survivors 1
take 1
takes 1
taking 1
talk 1
tell 2
tension 1
thanks 1
that 20
the 88
their 7
them 7
there 3
they 14
theyve 1
this 10
those 4
though 1
time 2
tissue 1
to 58
told 1
torn 1
transplanted 1
tries 1
trip 2
try 1
turn 1
turned 2
two 1
ual 3
umeh 9
underwater 2
unsurprisingly 1
up 2
using 2
view 1
vorhi 2
wake 1
want 3
wants 3
war 1
was 2
waxy 1
way 4
weapons 1
welcome 1
well 1
wellbeing 1
wessej 1
wesshar 10
what 3
when 1
whether 1
while 1
who 3
whose 1
will 7
wiped 1
with 10
withdraw 1
world 4
worlds 1
would 3
wrath 1
