19669163
/m/07kg1qp
/m/07kg1qp
H. A. Rey
1939
{"/m/0dwly": "Children's literature"}
a 6
across 1
all 2
an 1
and 9
animals 1
another 1
as 4
asks 1
assist 1
baby 1
been 1
belongings 1
body 1
bond 1
book 1
breaks 1
bridging 1
by 2
can 1
captured 1
cecily 11
cements 1
character 1
clef 1
climax 1
composes 1
cross 2
crossing 1
crying 1
curious 2
declares 1
deep 1
dejected 1
divide 1
due 2
each 1
eight 1
emergency 1
eventually 1
exploits 1
family 3
features 1
fellow 1
female 1
final 1
fire 2
first 1
floors 1
follows 1
for 2
forest 1
forward 1
friendship 1
further 1
g 4
george 2
giraffe 1
giraffeshaped 1
go 1
guide 1
had 1
height 1
her 5
here 1
homeless 1
honor 1
hose 1
house 1
if 1
immediately 1
in 6
incident 1
introduced 1
introduces 1
invites 1
is 6
it 4
james 1
jinny 1
jungle 2
leaps 1
learns 1
left 1
like 1
live 1
lived 1
loss 2
lyrics 1
monkey 3
monkeys 8
mother 1
move 1
much 1
musical 1
named 1
neck 1
no 1
notation 1
notes 1
notices 2
occurs 1
of 15
offspring 1
on 2
one 1
or 1
other 2
out 1
pack 1
page 1
pamplemoose 1
placed 1
plight 1
pump 1
ravine 2
reach 1
remaining 1
rescuer 1
saddened 1
section 1
serving 1
she 2
short 1
side 1
simply 1
six 1
so 2
song 2
stay 1
stops 1
story 1
strongest 1
tall 1
team 1
that 3
the 36
their 3
them 1
they 1
time 1
to 10
top 1
treble 1
trees 1
two 1
upper 1
using 1
water 1
well 1
were 1
when 2
while 1
who 2
whom 1
with 4
woodcutters 1
work 2
would 1
young 1
youngest 1
zoo 1
