5413403
/m/0dkrzm
/m/0dkrzm
John Peel

a 10
able 1
across 1
actually 1
all 1
allow 1
along 1
alter 1
amongst 1
an 1
and 5
antalin 1
are 1
arrive 2
as 1
atoms 1
be 1
before 1
believed 1
better 1
board 1
by 2
case 1
chamber 1
characters 1
civil 1
collected 1
considerable 1
containing 1
coordinates 1
dalek 5
daleks 3
data 1
davros 8
death 1
defeated 1
device 1
discovers 2
disintegration 1
disintegrator 1
dispersal 1
dispersed 1
doctor 5
doing 1
downfall 1
either 1
erased 1
escape 1
exterminated 1
faction 1
failed 1
fate 1
fight 1
final 1
force 1
forces 1
forming 1
from 1
group 1
had 1
has 2
he 4
his 5
holds 1
implanted 1
in 4
initiating 1
into 1
is 4
it 1
jettisons 1
landing 1
leave 1
left 1
location 1
loyalists 2
maintenance 1
matter 1
mean 1
met 1
number 1
of 4
on 3
open 1
opens 1
or 1
other 1
placed 1
planet 1
planted 1
pod 1
prime 4
prior 1
releases 1
resistance 1
return 1
revealed 1
safe 1
sam 1
sentenced 1
ship 1
since 1
skaro 5
so 1
some 1
space 1
species 1
spider 1
spy 1
story 1
survive 1
take 1
tardis 2
thals 1
that 1
the 20
their 1
then 1
they 3
those 1
time 1
to 8
transmatted 1
up 1
vortex 1
want 1
war 1
were 2
when 2
which 2
will 1
with 4
would 1
